jogador,time,posicao,Minutos,GA,SoTA,Saves,Saves%,Clean Sheet,Clean Sheet%,PSxG,PSxG+/-,Passes Att,Passes Launch%,Passes AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Manuel Neuer,Bayern Munich,GK,1980,15,45,30,68.9,13,59.1,15.0,0.0,867,20.0,27.7,162,6,3.7,40,1.82,19.6
Patrick Drewes,Bochum,GK,1890,46,99,51,56.6,2,9.5,42.3,-3.7,681,50.1,37.6,285,12,4.2,33,1.57,15.8
Timo Horn,Bochum,GK,1170,22,54,32,59.3,3,23.1,18.5,-3.5,400,60.8,43.6,182,6,3.3,18,1.38,14.8
Gregor Kobel,Dortmund,GK,2880,47,129,82,66.7,7,21.9,47.4,1.4,1117,23.7,28.6,420,22,5.2,47,1.47,15.7
Kauã Santos,Eint Frankfurt,GK,765,12,46,35,76.1,3,37.5,14.3,3.3,248,37.1,33.2,137,16,11.7,18,2.12,14.0
Kevin Trapp,Eint Frankfurt,GK,2295,34,117,82,70.9,6,23.1,34.9,1.9,813,31.7,29.9,394,24,6.1,28,1.1,13.6
Florian Müller,Freiburg,GK,753,16,30,15,53.3,1,12.5,11.6,-3.4,267,44.9,37.1,104,6,5.8,9,1.08,13.4
Noah Atubolu,Freiburg,GK,2307,37,120,81,69.2,10,38.5,37.0,0.0,1012,32.4,33.1,377,34,9.0,28,1.09,12.7
Jonas Omlin,Gladbach,GK,978,26,72,45,66.7,1,9.1,23.8,-2.2,453,34.9,32.7,166,3,1.8,13,1.2,15.1
Moritz Nicolas,Gladbach,GK,1639,25,92,69,78.3,4,21.1,29.9,6.9,734,23.3,28.2,319,18,5.6,14,0.77,12.0
Kevin Müller,Heidenheim,GK,2939,64,169,105,65.7,7,21.2,59.3,-4.7,1031,31.4,33.8,453,21,4.6,20,0.61,12.0
Oliver Baumann,Hoffenheim,GK,2520,53,138,84,63.0,4,14.3,52.1,1.1,923,41.6,36.5,407,18,4.4,31,1.11,14.5
Thomas Dähne,Holstein Kiel,GK,810,19,55,36,69.1,0,0.0,18.5,0.5,304,25.7,30.3,177,15,8.5,5,0.56,9.3
Timon Weiner,Holstein Kiel,GK,2250,61,140,81,59.3,2,8.0,47.2,-11.8,789,40.2,34.5,491,27,5.5,18,0.72,11.1
Lukáš Hrádecký,Leverkusen,GK,2610,38,118,83,71.2,6,20.7,35.8,0.8,774,30.9,31.5,296,12,4.1,39,1.34,17.3
Robin Zentner,Mainz 05,GK,2880,41,142,100,73.9,9,28.1,45.0,4.0,977,46.2,38.7,524,45,8.6,58,1.81,14.0
Péter Gulácsi,RB Leipzig,GK,2631,39,137,97,73.0,14,46.7,42.6,3.6,705,20.3,28.6,434,23,5.3,34,1.16,14.8
Nikola Vasilj,St. Pauli,GK,2969,39,135,93,71.9,9,27.3,47.4,9.4,1267,34.2,32.7,411,24,5.8,27,0.82,12.8
Alexander Nübel,Stuttgart,GK,3060,53,136,83,62.5,7,20.6,44.8,-7.2,1183,30.1,30.7,415,21,5.1,57,1.68,17.6
Frederik Rønnow,Union Berlin,GK,2520,37,111,71,67.6,8,28.6,39.3,3.3,734,36.6,34.3,483,40,8.3,35,1.25,13.4
Michael Zetterer,Werder Bremen,GK,3060,57,156,102,65.4,10,29.4,52.9,-1.1,1204,27.7,31.9,464,35,7.5,34,1.0,13.5
Kamil Grabara,Wolfsburg,GK,2585,49,137,88,65.7,5,17.2,49.7,1.7,979,41.7,36.7,413,15,3.6,19,0.66,12.2
Marco Carnesecchi,Atalanta,GK,3060,34,129,97,75.2,13,38.2,36.1,4.1,878,28.2,32.3,319,21,6.6,45,1.32,14.5
Federico Ravaglia,Bologna,GK,1056,14,24,10,45.8,4,36.4,11.7,-2.3,426,27.5,30.8,97,11,11.3,9,0.77,12.9
Łukasz Skorupski,Bologna,GK,2364,33,82,50,61.0,8,29.6,28.7,-2.3,1005,27.9,31.6,215,18,8.4,23,0.88,13.0
Alen Sherri,Cagliari,GK,621,11,31,20,64.5,1,14.3,10.9,-0.1,168,35.7,32.2,85,4,4.7,5,0.72,11.1
Elia Caprile,Cagliari,GK,1620,22,66,44,68.2,5,27.8,23.5,1.5,546,44.1,36.8,266,18,6.8,23,1.28,15.6
Simone Scuffet,Cagliari,GK,1170,23,56,33,67.9,1,7.7,20.4,-2.6,305,42.0,35.5,189,6,3.2,7,0.54,11.8
Emil Audero,Como,GK,720,18,34,16,58.8,0,0.0,12.4,-5.6,232,22.0,28.6,95,5,5.3,8,1.0,12.9
Jean Butez,Como,GK,1666,20,68,48,73.5,5,27.8,20.1,0.1,709,30.2,32.0,190,22,11.6,51,2.76,18.2
Pepe Reina,Como,GK,1034,14,41,27,68.3,2,16.7,12.1,-1.9,330,32.4,31.9,148,2,1.4,6,0.52,12.5
Devis Vásquez,Empoli,GK,2880,45,125,79,64.8,6,18.8,40.2,-4.8,953,48.5,39.0,490,36,7.3,15,0.47,10.9
David de Gea,Fiorentina,GK,3150,38,135,96,72.6,11,31.4,37.0,0.0,886,40.1,35.8,478,13,2.7,28,0.8,14.5
