jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels 
Luca Ranieri,Fiorentina,DF,3071,25,80,46.2,48,56,25,7,0,0,20,25,80.0,28,1,46.2% (48/56)
Marin Pongračić,Fiorentina,DF,1367,7,34,69.4,25,11,26,3,1,1,7,11,63.6,12,2,69.4% (25/11)
Pablo Marí,Fiorentina,DF,1098,2,27,72.1,31,12,14,2,0,0,6,11,54.5,25,0,72.1% (31/12)
Pietro Comuzzo,Fiorentina,DF,2200,14,75,59.4,63,43,25,5,0,0,23,29,79.3,29,4,59.4% (63/43)
Robin Gosens,Fiorentina,DF,2521,31,102,62.3,71,43,24,6,0,0,25,44,56.8,18,0,62.3% (71/43)
Aarón Martín,Genoa,DF,3085,50,90,37.7,20,33,38,5,0,0,33,51,64.7,19,1,37.7% (20/33)
Alan Matturro,Genoa,DF,900,12,15,50.0,16,16,10,2,0,0,3,14,21.4,14,0,50.0% (16/16)
Alessandro Vogliacco,Genoa,DF,715,9,26,57.9,11,8,12,3,0,0,10,12,83.3,9,0,57.9% (11/8)
Johan Vásquez,Genoa,DF,3041,37,96,55.4,93,75,31,9,0,0,26,44,59.1,50,1,55.4% (93/75)
Koni De Winter,Genoa,DF,2135,10,56,68.5,74,34,43,6,0,0,17,25,68.0,25,3,68.5% (74/34)
Mattia Bani,Genoa,DF,1507,6,25,48.9,22,23,7,3,0,0,7,11,63.6,22,2,48.9% (22/23)
Stefano Sabelli,Genoa,DF,2058,36,88,38.1,16,26,25,3,0,0,20,52,38.5,22,0,38.1% (16/26)
Daniele Ghilardi,Hellas Verona,DF,2029,16,57,50.0,41,41,33,7,1,0,25,41,61.0,30,0,50.0% (41/41)
Diego Coppola,Hellas Verona,DF,2927,4,48,64.9,133,72,44,10,0,0,28,40,70.0,72,2,64.9% (133/72)
Domagoj Bradarić,Hellas Verona,DF,1933,30,46,43.2,16,21,21,6,0,0,18,29,62.1,15,1,43.2% (16/21)
Flavius Daniliuc,Hellas Verona,DF,1004,8,38,51.4,18,17,12,0,0,0,15,24,62.5,7,0,51.4% (18/17)
Giangiacomo Magnani,Hellas Verona,DF,1065,4,31,61.7,29,18,8,2,0,0,7,7,100.0,17,1,61.7% (29/18)
Nicolás Valentini,Hellas Verona,DF,1129,4,42,79.4,50,13,22,5,1,1,20,31,64.5,15,0,79.4% (50/13)
Alessandro Bastoni,Inter,DF,2401,62,162,64.7,44,24,44,6,1,1,20,30,66.7,22,1,64.7% (44/24)
Benjamin Pavard,Inter,DF,1584,13,92,55.6,40,32,18,4,0,0,18,25,72.0,16,0,55.6% (40/32)
Carlos Augusto,Inter,DF,1691,31,80,62.0,57,35,10,1,0,0,12,19,63.2,9,0,62.0% (57/35)
Francesco Acerbi,Inter,DF,1710,19,62,67.0,61,30,11,0,0,0,11,17,64.7,26,0,67.0% (61/30)
Matteo Darmian,Inter,DF,1781,14,45,46.4,13,15,26,3,0,0,14,25,56.0,10,0,46.4% (13/15)
Stefan de Vrij,Inter,DF,1726,11,76,63.1,65,38,9,2,0,0,9,12,75.0,23,0,63.1% (65/38)
Yann Aurel Bisseck,Inter,DF,1643,32,93,75.8,47,15,16,4,0,0,11,16,68.8,17,1,75.8% (47/15)
Federico Gatti,Juventus,DF,2195,24,73,58.7,37,26,20,2,0,0,14,24,58.3,18,2,58.7% (37/26)
Lloyd Kelly,Juventus,DF,1013,10,36,59.0,36,25,14,1,0,0,7,9,77.8,2,3,59.0% (36/25)
Nicolò Savona,Juventus,DF,1724,35,59,33.3,9,18,13,5,0,0,13,25,52.0,11,0,33.3% (9/18)
Pierre Kalulu,Juventus,DF,2337,48,117,36.5,27,47,26,2,1,0,18,24,75.0,17,1,36.5% (27/47)
Renato Veiga,Juventus,DF,1093,9,40,71.1,27,11,9,2,0,0,9,14,64.3,19,0,71.1% (27/11)
Adam Marušić,Lazio,DF,2337,23,84,52.7,29,26,20,1,0,0,18,30,60.0,16,0,52.7% (29/26)
Alessio Romagnoli,Lazio,DF,2672,8,90,64.1,84,47,29,4,2,0,22,27,81.5,26,1,64.1% (84/47)
Luca Pellegrini,Lazio,DF,1067,21,72,53.3,8,7,18,5,0,0,17,32,53.1,19,0,53.3% (8/7)
Manuel Lazzari,Lazio,DF,1406,72,66,27.8,5,13,12,3,0,0,14,24,58.3,10,0,27.8% (5/13)
Mario Gila,Lazio,DF,2741,48,157,51.6,66,62,32,8,0,0,37,56,66.1,28,4,51.6% (66/62)
Nuno Tavares,Lazio,DF,1686,98,111,50.0,11,11,18,4,1,1,14,34,41.2,21,2,50.0% (11/11)
Patric,Lazio,DF,607,4,30,53.8,7,6,5,2,0,0,6,10,60.0,3,1,53.8% (7/6)
Samuel Gigot,Lazio,DF,683,7,12,78.3,18,5,8,2,0,0,0,1,0.0,13,0,78.3% (18/5)
Antonino Gallo,Lecce,DF,2609,57,107,41.3,26,37,12,3,1,0,34,62,54.8,20,0,41.3% (26/37)
Federico Baschirotto,Lecce,DF,3420,13,71,65.4,104,55,31,3,0,0,22,28,78.6,23,2,65.4% (104/55)
Frederic Guilbert,Lecce,DF,2435,48,88,58.0,40,29,33,3,2,0,36,55,65.5,47,3,58.0% (40/29)
Gaby Jean,Lecce,DF,1388,8,42,63.1,41,24,15,0,0,0,6,11,54.5,9,1,63.1% (41/24)
Kialonda,Lecce,DF,2144,4,34,67.2,90,44,9,3,0,0,12,17,70.6,32,1,67.2% (90/44)
Emerson,Milan,DF,1377,23,68,63.2,24,14,34,5,0,0,16,34,47.1,14,0,63.2% (24/14)
Fikayo Tomori,Milan,DF,1593,8,63,48.3,28,30,10,4,1,1,17,25,68.0,20,2,48.3% (28/30)
Kyle Walker,Milan,DF,659,11,32,66.7,6,3,7,1,0,0,13,17,76.5,9,1,66.7% (6/3)
Malick Thiaw,Milan,DF,1806,12,89,64.5,49,27,24,2,0,0,6,10,60.0,15,1,64.5% (49/27)
Matteo Gabbia,Milan,DF,2152,13,74,56.6,47,36,20,4,0,0,8,10,80.0,15,1,56.6% (47/36)
Strahinja Pavlović,Milan,DF,1864,40,94,68.2,45,21,20,3,1,0,29,50,58.0,16,0,68.2% (45/21)
Theo Hernández,Milan,DF,2696,93,132,69.8,37,16,17,4,1,0,21,39,53.8,17,3,69.8% (37/16)
Andrea Carboni,Monza,DF,2191,9,51,47.5,38,42,29,5,0,0,35,53,66.0,27,4,47.5% (38/42)
Armando Izzo,Monza,DF,2435,12,72,44.8,52,64,65,12,0,0,18,36,50.0,45,0,44.8% (52/64)
Danilo D'Ambrosio,Monza,DF,1095,10,34,41.0,16,23,18,2,1,0,14,23,60.9,15,2,41.0% (16/23)
Giorgos Kyriakopoulos,Monza,DF,2845,67,97,44.1,26,33,24,5,0,0,30,61,49.2,23,0,44.1% (26/33)
Luca Caldirola,Monza,DF,876,5,22,50.0,13,13,18,5,0,0,4,7,57.1,11,1,50.0% (13/13)
Pablo Marí,Monza,DF,1628,5,58,65.6,40,21,27,4,1,1,11,21,52.4,37,2,65.6% (40/21)
Pedro Pereira,Monza,DF,2665,52,66,40.3,27,40,48,10,0,0,35,55,63.6,21,5,40.3% (27/40)
Alessandro Buongiorno,Napoli,DF,1924,27,82,67.2,43,21,17,2,0,0,24,32,75.0,35,2,67.2% (43/21)
Amir Rrahmani,Napoli,DF,3406,30,188,69.3,124,55,42,2,0,0,16,25,64.0,27,2,69.3% (124/55)
Giovanni Di Lorenzo,Napoli,DF,3330,50,224,49.5,45,46,46,6,0,0,42,65,64.6,31,1,49.5% (45/46)
Juan Jesus,Napoli,DF,1074,3,50,60.0,24,16,14,2,0,0,12,20,60.0,9,0,60.0% (24/16)
Mathías Olivera,Napoli,DF,2370,46,126,53.2,41,36,28,4,0,0,32,53,60.4,28,1,53.2% (41/36)
Alessandro Vogliacco,Parma,DF,772,2,21,56.7,17,13,10,2,0,0,3,5,60.0,3,0,56.7% (17/13)
Botond Balogh,Parma,DF,2053,7,37,54.0,34,29,17,5,0,0,20,28,71.4,25,2,54.0% (34/29)
Emanuele Valeri,Parma,DF,2873,79,93,50.0,19,19,28,1,0,0,30,61,49.2,29,4,50.0% (19/19)
Enrico Del Prato,Parma,DF,2947,8,81,46.9,38,43,20,8,0,0,19,26,73.1,19,2,46.9% (38/43)
Giovanni Leoni,Parma,DF,1199,0,21,63.0,17,10,11,3,1,0,5,10,50.0,15,1,63.0% (17/10)
Lautaro Valenti,Parma,DF,1556,3,28,53.3,24,21,24,6,1,1,7,9,77.8,13,1,53.3% (24/21)
Woyo Coulibaly,Parma,DF,1084,36,41,50.0,9,9,12,1,1,0,5,11,45.5,8,0,50.0% (9/9)
Angeliño,Roma,DF,3177,66,172,52.6,30,27,32,1,0,0,17,34,50.0,28,0,52.6% (30/27)
Gianluca Mancini,Roma,DF,3143,45,139,63.8,60,34,49,8,0,0,20,34,58.8,35,0,63.8% (60/34)
Mats Hummels,Roma,DF,915,4,26,60.5,23,15,9,1,0,0,11,18,61.1,26,0,60.5% (23/15)
Obite N'Dicka,Roma,DF,3420,29,107,55.5,61,49,37,2,0,0,14,21,66.7,33,2,55.5% (61/49)
Zeki Çelik,Roma,DF,2256,28,106,53.6,30,26,31,5,0,0,23,43,53.5,15,3,53.6% (30/26)
Adam Masina,Torino,DF,1919,15,73,74.2,66,23,23,5,0,0,23,40,57.5,27,2,74.2% (66/23)
