jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels 
Nathan Collins,Brentford,DF,3420,32,127,62.9,117,69,29,5,0,0,22,36,61.1,34,3,62.9% (117/69)
Sepp van den Berg,Brentford,DF,2586,12,79,55.0,94,77,23,3,0,0,19,29,65.5,21,3,55.0% (94/77)
Adam Webster,Brighton,DF,887,8,63,80.0,24,6,7,1,0,0,6,14,42.9,20,2,80.0% (24/6)
Igor,Brighton,DF,961,9,49,57.1,8,6,9,4,0,0,4,10,40.0,4,1,57.1% (8/6)
Jan Paul van Hecke,Brighton,DF,2958,55,228,62.1,82,50,25,8,1,1,23,41,56.1,24,2,62.1% (82/50)
Joël Veltman,Brighton,DF,1697,32,85,53.8,21,18,27,5,0,0,31,52,59.6,19,0,53.8% (21/18)
Lewis Dunk,Brighton,DF,2083,20,142,62.2,51,31,7,5,0,0,11,19,57.9,13,2,62.2% (51/31)
Pervis Estupiñán,Brighton,DF,2402,59,132,63.9,46,26,36,5,0,0,34,51,66.7,37,2,63.9% (46/26)
Tariq Lamptey,Brighton,DF,860,32,14,6.7,1,14,15,0,0,0,9,25,36.0,7,1,6.7% (1/14)
Levi Colwill,Chelsea,DF,3149,14,131,60.7,82,53,45,9,0,0,18,27,66.7,33,4,60.7% (82/53)
Malo Gusto,Chelsea,DF,1862,50,119,37.5,9,15,20,4,0,0,25,48,52.1,24,5,37.5% (9/15)
Marc Cucurella,Chelsea,DF,2988,35,118,36.0,32,57,37,10,1,1,32,61,52.5,28,3,36.0% (32/57)
Tosin Adarabioyo,Chelsea,DF,1409,5,42,60.0,42,28,8,4,0,0,8,12,66.7,11,0,60.0% (42/28)
Trevoh Chalobah,Chelsea,DF,910,4,37,65.7,23,12,9,2,0,0,7,8,87.5,10,1,65.7% (23/12)
Wesley Fofana,Chelsea,DF,1172,19,32,69.2,27,12,24,7,0,0,6,14,42.9,14,2,69.2% (27/12)
Chris Richards,Crystal Palace,DF,1922,6,39,53.4,47,41,11,4,1,1,24,41,58.5,19,0,53.4% (47/41)
Daniel Muñoz,Crystal Palace,DF,3228,62,97,42.6,58,78,56,10,0,0,55,96,57.3,44,1,42.6% (58/78)
Marc Guéhi,Crystal Palace,DF,3059,22,134,54.0,68,58,24,9,1,1,31,47,66.0,28,2,54.0% (68/58)
Maxence Lacroix,Crystal Palace,DF,3116,8,65,54.5,60,50,34,5,0,0,32,47,68.1,54,2,54.5% (60/50)
Trevoh Chalobah,Crystal Palace,DF,1060,11,34,53.7,22,19,10,1,0,0,12,23,52.2,19,3,53.7% (22/19)
Tyrick Mitchell,Crystal Palace,DF,3092,62,70,48.8,20,21,23,2,0,0,25,46,54.3,19,2,48.8% (20/21)
Ashley Young,Everton,DF,1875,24,90,47.6,10,11,30,7,1,0,35,57,61.4,25,2,47.6% (10/11)
Jake O'Brien,Everton,DF,1571,7,50,57.7,41,30,13,5,0,0,17,25,68.0,4,0,57.7% (41/30)
James Tarkowski,Everton,DF,2922,9,75,75.6,102,33,35,6,0,0,24,39,61.5,41,4,75.6% (102/33)
Jarrad Branthwaite,Everton,DF,2511,10,66,59.2,61,42,12,4,0,0,20,28,71.4,27,4,59.2% (61/42)
Michael Keane,Everton,DF,1049,1,14,56.5,26,20,9,5,0,0,8,15,53.3,16,2,56.5% (26/20)
Vitaliy Mykolenko,Everton,DF,3082,33,110,56.0,47,37,22,4,0,0,29,56,51.8,44,2,56.0% (47/37)
Antonee Robinson,Fulham,DF,3167,118,131,65.8,50,26,31,8,0,0,45,95,47.4,62,2,65.8% (50/26)
Calvin Bassey,Fulham,DF,3074,39,116,56.6,43,33,26,7,0,0,22,31,71.0,20,8,56.6% (43/33)
Issa Diop,Fulham,DF,1339,6,25,62.5,20,12,10,2,0,0,13,18,72.2,9,2,62.5% (20/12)
Joachim Andersen,Fulham,DF,2583,16,112,64.2,70,39,18,6,1,0,15,24,62.5,34,1,64.2% (70/39)
Kenny Tete,Fulham,DF,1774,34,63,52.2,24,22,35,5,0,0,23,38,60.5,32,0,52.2% (24/22)
Timothy Castagne,Fulham,DF,1649,17,62,49.3,34,35,15,1,0,0,26,45,57.8,22,0,49.3% (34/35)
Axel Tuanzebe,Ipswich Town,DF,1710,10,61,55.0,22,18,17,5,1,1,17,26,65.4,23,1,55.0% (22/18)
Cameron Burgess,Ipswich Town,DF,1541,2,42,66.7,44,22,6,0,0,0,9,11,81.8,14,3,66.7% (44/22)
Dara O'Shea,Ipswich Town,DF,3122,3,80,57.3,114,85,21,6,0,0,22,34,64.7,33,4,57.3% (114/85)
Jacob Greaves,Ipswich Town,DF,2205,11,69,67.5,83,40,16,5,0,0,22,35,62.9,21,3,67.5% (83/40)
Leif Davis,Ipswich Town,DF,2743,52,59,59.6,34,23,27,5,1,0,30,48,62.5,25,3,59.6% (34/23)
Luke Woolfenden,Ipswich Town,DF,1187,7,15,50.0,15,15,5,2,0,0,2,5,40.0,19,0,50.0% (15/15)
Caleb Okoli,Leicester City,DF,1125,3,32,52.3,23,21,16,4,0,0,11,18,61.1,15,3,52.3% (23/21)
Conor Coady,Leicester City,DF,1714,3,32,37.1,13,22,8,3,0,0,3,6,50.0,13,2,37.1% (13/22)
James Justin,Leicester City,DF,2912,39,91,55.6,69,55,29,6,0,0,32,55,58.2,46,3,55.6% (69/55)
Jannik Vestergaard,Leicester City,DF,1391,3,32,57.8,26,19,12,5,0,0,9,15,60.0,16,1,57.8% (26/19)
Luke Thomas,Leicester City,DF,1110,5,37,54.2,13,11,16,3,0,0,21,41,51.2,21,1,54.2% (13/11)
Victor Bernth Kristiansen,Leicester City,DF,2482,40,70,34.4,22,42,19,1,0,0,49,91,53.8,42,3,34.4% (22/42)
Wout Faes,Leicester City,DF,2815,12,86,55.6,45,36,23,4,0,0,25,48,52.1,26,4,55.6% (45/36)
Andrew Robertson,Liverpool,DF,2482,64,176,33.3,7,14,11,3,1,0,31,51,60.8,21,2,33.3% (7/14)
Conor Bradley,Liverpool,DF,754,35,33,61.1,11,7,12,4,0,0,11,22,50.0,4,0,61.1% (11/7)
Ibrahima Konaté,Liverpool,DF,2560,25,115,71.8,74,29,27,5,0,0,25,35,71.4,17,3,71.8% (74/29)
Kostas Tsimikas,Liverpool,DF,837,17,76,38.5,5,8,9,2,0,0,14,23,60.9,11,0,38.5% (5/8)
Trent Alexander-Arnold,Liverpool,DF,2365,51,232,18.8,3,13,11,5,0,0,49,105,46.7,31,4,18.8% (3/13)
Virgil van Dijk,Liverpool,DF,3330,22,198,72.1,119,46,17,5,0,0,13,22,59.1,56,4,72.1% (119/46)
Joško Gvardiol,Manchester City,DF,3277,91,264,56.8,54,41,16,2,0,0,21,40,52.5,44,8,56.8% (54/41)
Kyle Walker,Manchester City,DF,970,12,64,56.3,9,7,6,3,0,0,14,26,53.8,3,1,56.3% (9/7)
Manuel Akanji,Manchester City,DF,2014,46,158,47.6,30,33,17,3,0,0,11,17,64.7,9,3,47.6% (30/33)
Nathan Aké,Manchester City,DF,678,12,50,56.5,13,10,2,0,0,0,4,6,66.7,3,1,56.5% (13/10)
Rúben Dias,Manchester City,DF,2271,43,160,52.1,37,34,12,4,0,0,7,13,53.8,20,4,52.1% (37/34)
Diogo Dalot,Manchester Utd,DF,2814,62,103,64.4,38,21,40,5,0,0,34,52,65.4,37,0,64.4% (38/21)
Harry Maguire,Manchester Utd,DF,1758,7,51,71.9,64,25,18,7,0,0,17,23,73.9,40,1,71.9% (64/25)
Leny Yoro,Manchester Utd,DF,1165,19,52,50.0,16,16,9,5,0,0,13,19,68.4,18,0,50.0% (16/16)
Lisandro Martínez,Manchester Utd,DF,1751,23,117,55.2,16,13,22,7,0,0,21,36,58.3,32,1,55.2% (16/13)
Matthijs de Ligt,Manchester Utd,DF,2123,7,55,66.7,58,29,16,3,0,0,23,32,71.9,33,0,66.7% (58/29)
Noussair Mazraoui,Manchester Utd,DF,2838,42,115,62.5,50,30,38,3,0,0,59,94,62.8,34,1,62.5% (50/30)
Patrick Dorgu,Manchester Utd,DF,842,41,34,62.5,15,9,17,3,1,0,16,23,69.6,4,2,62.5% (15/9)
Victor Lindelöf,Manchester Utd,DF,704,5,26,53.1,17,15,8,1,0,0,3,4,75.0,8,2,53.1% (17/15)
Dan Burn,Newcastle Utd,DF,3330,12,75,66.1,146,75,34,11,0,0,20,36,55.6,27,4,66.1% (146/75)
Fabian Schär,Newcastle Utd,DF,2934,18,118,44.1,56,71,35,9,1,0,14,35,40.0,45,3,44.1% (56/71)
Kieran Trippier,Newcastle Utd,DF,1309,26,117,59.5,22,15,16,1,0,0,22,36,61.1,12,0,59.5% (22/15)
Lewis Hall,Newcastle Utd,DF,2189,41,123,49.2,30,31,9,3,0,0,40,74,54.1,18,3,49.2% (30/31)
Valentino Livramento,Newcastle Utd,DF,2840,83,158,43.5,27,35,6,1,0,0,32,59,54.2,23,1,43.5% (27/35)
Morato,Nott'ham Forest,DF,907,1,19,30.0,6,14,11,5,0,0,13,21,61.9,10,2,30.0% (6/14)
Murillo,Nott'ham Forest,DF,3188,22,115,66.7,44,22,27,6,0,0,27,46,58.7,36,3,66.7% (44/22)
Neco Williams,Nott'ham Forest,DF,2594,68,89,57.1,40,30,24,7,0,0,53,86,61.6,31,3,57.1% (40/30)
Nikola Milenković,Nott'ham Forest,DF,3330,3,51,72.1,101,39,20,4,0,0,27,34,79.4,27,1,72.1% (101/39)
Ola Aina,Nott'ham Forest,DF,2995,67,107,40.6,13,19,23,5,0,0,36,64,56.3,33,4,40.6% (13/19)
Jack Stephens,Southampton,DF,1389,14,63,37.5,6,10,13,2,2,0,17,30,56.7,13,2,37.5% (6/10)
James Bree,Southampton,DF,1075,13,34,63.2,12,7,4,0,0,0,10,25,40.0,9,0,63.2% (12/7)
Jan Bednarek,Southampton,DF,2531,5,60,65.7,71,37,31,7,0,0,16,31,51.6,56,5,65.7% (71/37)
Kyle Walker-Peters,Southampton,DF,2918,114,139,34.4,11,21,28,5,0,0,16,35,45.7,19,1,34.4% (11/21)
Nathan Wood-Gordon,Southampton,DF,773,2,17,65.2,15,8,9,2,0,0,8,11,72.7,5,2,65.2% (15/8)
Taylor Harwood-Bellis,Southampton,DF,2825,29,125,56.3,63,49,35,9,0,0,19,35,54.3,30,6,56.3% (63/49)
Ben Davies,Tottenham,DF,1331,14,52,54.7,52,43,17,5,0,0,9,17,52.9,12,1,54.7% (52/43)
Cristian Romero,Tottenham,DF,1416,12,71,60.3,41,27,14,3,0,0,21,30,70.0,21,2,60.3% (41/27)
Destiny Udogie,Tottenham,DF,1924,54,121,50.0,13,13,29,2,0,0,33,48,68.8,22,1,50.0% (13/13)
Djed Spence,Tottenham,DF,1792,59,105,60.0,21,14,21,4,1,1,23,30,76.7,21,2,60.0% (21/14)
Kevin Danso,Tottenham,DF,842,11,19,63.6,21,12,9,0,0,0,6,11,54.5,6,1,63.6% (21/12)
Micky van de Ven,Tottenham,DF,1015,8,51,48.7,19,20,10,4,0,0,8,14,57.1,10,1,48.7% (19/20)
Pedro Porro,Tottenham,DF,2610,65,154,34.3,12,23,25,5,0,0,44,77,57.1,36,2,34.3% (12/23)
Radu Drăgușin,Tottenham,DF,1252,7,37,60.0,33,22,6,1,0,0,6,12,50.0,15,4,60.0% (33/22)
Aaron Cresswell,West Ham,DF,824,6,36,50.0,7,7,4,3,0,0,9,11,81.8,8,0,50.0% (7/7)
Aaron Wan-Bissaka,West Ham,DF,3154,110,149,40.0,22,33,25,1,0,0,23,32,71.9,66,0,40.0% (22/33)
Emerson Palmieri,West Ham,DF,2113,47,66,47.4,18,20,25,5,0,0,27,48,56.3,21,0,47.4% (18/20)
Jean-Clair Todibo,West Ham,DF,1825,9,38,51.9,28,26,16,3,0,0,26,36,72.2,26,3,51.9% (28/26)
Konstantinos Mavropanos,West Ham,DF,2045,17,61,69.5,57,25,17,6,1,1,16,27,59.3,40,1,69.5% (57/25)
Max Kilman,West Ham,DF,3348,31,113,67.3,113,55,23,5,0,0,23,27,85.2,38,6,67.3% (113/55)
Vladimír Coufal,West Ham,DF,1067,26,39,59.0,23,16,22,5,0,0,10,22,45.5,8,1,59.0% (23/16)
Craig Dawson,Wolves,DF,971,6,20,65.6,21,11,6,2,0,0,12,15,80.0,9,1,65.6% (21/11)
Emmanuel Agbadou,Wolves,DF,1410,6,31,56.5,26,20,7,3,0,0,13,20,65.0,12,0,56.5% (26/20)
Matt Doherty,Wolves,DF,2109,29,79,72.7,56,21,18,6,0,0,17,25,68.0,22,3,72.7% (56/21)
Nélson Semedo,Wolves,DF,2886,67,80,40.0,28,42,48,8,0,0,34,57,59.6,23,3,40.0% (28/42)
Rayan Aït-Nouri,Wolves,DF,3109,89,108,42.3,22,30,30,7,1,1,43,70,61.4,26,2,42.3% (22/30)
Santiago Bueno,Wolves,DF,1687,1,28,53.0,35,31,26,2,0,0,17,22,77.3,15,0,53.0% (35/31)
Toti Gomes,Wolves,DF,2614,27,86,67.1,53,26,24,7,0,0,37,46,80.4,25,5,67.1% (53/26)
Abdel Abqar,Alavés,DF,2463,16,79,53.3,40,35,47,13,0,0,20,34,58.8,39,1,53.3% (40/35)
Facundo Garcés,Alavés,DF,678,3,12,48.1,13,14,7,2,0,0,3,5,60.0,5,0,48.1% (13/14)
Manu Sánchez,Alavés,DF,2634,47,78,20.0,8,32,56,6,1,0,41,69,59.4,30,1,20.0% (8/32)
Moussa Diarra,Alavés,DF,1866,12,70,51.7,31,29,28,6,0,0,17,29,58.6,21,1,51.7% (31/29)
Nahuel Tenaglia,Alavés,DF,2922,42,103,46.9,46,52,37,11,0,0,53,88,60.2,47,2,46.9% (46/52)
Santiago Mouriño,Alavés,DF,1849,14,46,57.6,38,28,32,7,0,0,21,38,55.3,29,0,57.6% (38/28)
Aitor Paredes,Athletic Club,DF,1812,4,46,50.8,30,29,23,4,1,1,8,15,53.3,22,4,50.8% (30/29)
Andoni Gorosabel,Athletic Club,DF,1485,17,51,41.7,20,28,24,5,0,0,30,45,66.7,18,0,41.7% (20/28)
Daniel Vivian,Athletic Club,DF,2608,36,185,58.1,43,31,27,3,0,0,21,32,65.6,47,2,58.1% (43/31)
Iñigo Lekue,Athletic Club,DF,773,13,35,75.0,6,2,5,1,0,0,9,17,52.9,9,2,75.0% (6/2)
Unai Núñez,Athletic Club,DF,645,2,26,52.0,13,12,10,4,0,0,4,7,57.1,17,1,52.0% (13/12)
Yeray Álvarez,Athletic Club,DF,1781,19,105,53.8,49,42,15,4,0,0,15,22,68.2,34,1,53.8% (49/42)
Yuri Berchiche,Athletic Club,DF,2044,43,161,58.3,28,20,18,5,0,0,19,33,57.6,27,3,58.3% (28/20)
Óscar de Marcos,Athletic Club,DF,1564,26,102,40.0,8,12,16,0,0,0,21,37,56.8,16,0,40.0% (8/12)
Axel Witsel,Atlético Madrid,DF,852,2,21,59.0,23,16,4,1,0,0,12,14,85.7,11,1,59.0% (23/16)
Clément Lenglet,Atlético Madrid,DF,1972,16,79,49.3,37,38,29,9,0,0,11,15,73.3,22,1,49.3% (37/38)
César Azpilicueta,Atlético Madrid,DF,875,13,66,50.0,14,14,8,1,0,0,17,23,73.9,5,0,50.0% (14/14)
Javi Galán,Atlético Madrid,DF,1784,52,54,50.0,25,25,38,8,0,0,25,49,51.0,12,0,50.0% (25/25)
José María Giménez,Atlético Madrid,DF,1999,3,64,50.7,38,37,13,5,0,0,17,28,60.7,27,2,50.7% (38/37)
Nahuel Molina,Atlético Madrid,DF,1590,35,61,45.5,10,12,13,1,0,0,31,56,55.4,13,0,45.5% (10/12)
Reinildo Mandava,Atlético Madrid,DF,941,14,34,41.7,10,14,19,4,0,0,10,18,55.6,16,0,41.7% (10/14)
Robin Le Normand,Atlético Madrid,DF,2151,11,55,58.1,54,39,35,8,0,0,12,20,60.0,10,1,58.1% (54/39)
Alejandro Balde,Barcelona,DF,2284,107,93,64.0,16,9,16,2,0,0,11,17,64.7,5,0,64.0% (16/9)
Gerard Martín,Barcelona,DF,1038,10,40,70.0,14,6,14,2,0,0,11,16,68.8,13,0,70.0% (14/6)
Iñigo Martínez,Barcelona,DF,2490,70,260,63.7,58,33,18,5,0,0,16,22,72.7,18,1,63.7% (58/33)
Jules Koundé,Barcelona,DF,2605,44,165,56.6,30,23,22,4,0,0,44,66,66.7,20,2,56.6% (30/23)
Pau Cubarsí,Barcelona,DF,2618,26,191,58.5,62,44,24,3,0,0,19,30,63.3,16,1,58.5% (62/44)
Ronald Araújo,Barcelona,DF,754,6,49,62.3,33,20,9,3,0,0,4,5,80.0,9,0,62.3% (33/20)
Diego Llorente,Betis,DF,2519,7,81,63.1,77,45,20,4,0,0,25,38,65.8,43,1,63.1% (77/45)
Marc Bartra,Betis,DF,2099,7,68,54.3,50,42,15,2,0,0,15,26,57.7,33,0,54.3% (50/42)
Natan,Betis,DF,2175,12,52,68.4,65,30,19,5,1,0,26,30,86.7,28,2,68.4% (65/30)
Ricardo Rodríguez,Betis,DF,1274,19,63,61.4,27,17,12,0,0,0,17,26,65.4,8,0,61.4% (27/17)
Romain Perraud,Betis,DF,2002,51,62,34.6,9,17,26,8,1,0,21,46,45.7,22,1,34.6% (9/17)
Youssouf Sabaly,Betis,DF,1581,25,62,40.9,9,13,18,1,0,0,24,32,75.0,13,0,40.9% (9/13)
Carl Starfelt,Celta Vigo,DF,2270,11,66,54.1,60,51,21,5,0,0,18,27,66.7,31,3,54.1% (60/51)
Carlos Dominguez,Celta Vigo,DF,1181,15,66,65.1,28,15,8,1,0,0,15,21,71.4,13,1,65.1% (28/15)
Javi Rodríguez,Celta Vigo,DF,2514,29,114,53.3,40,35,37,7,0,0,33,47,70.2,33,2,53.3% (40/35)
Marcos Alonso,Celta Vigo,DF,2647,64,215,62.5,70,42,31,10,2,1,25,44,56.8,34,4,62.5% (70/42)
Brian Oliván,Espanyol,DF,1017,21,40,23.1,3,10,13,2,0,0,4,13,30.8,10,0,23.1% (3/10)
Carlos Romero,Espanyol,DF,2554,50,64,36.8,14,24,34,7,0,0,45,82,54.9,30,1,36.8% (14/24)
Leandro Cabrera,Espanyol,DF,2869,9,69,64.7,77,42,24,4,1,0,19,33,57.6,30,2,64.7% (77/42)
Marash Kumbulla,Espanyol,DF,2972,11,71,61.7,71,44,37,9,0,0,24,41,58.5,34,2,61.7% (71/44)
Omar El Hilali,Espanyol,DF,3153,35,84,54.5,36,30,52,11,0,0,64,95,67.4,46,2,54.5% (36/30)
Sergi Gómez,Espanyol,DF,664,0,8,33.3,11,22,6,1,0,0,2,3,66.7,7,0,33.3% (11/22)
Diego Rico,Getafe,DF,2819,27,136,57.8,26,19,38,9,1,0,47,85,55.3,34,2,57.8% (26/19)
Domingos Duarte,Getafe,DF,1859,3,47,60.9,28,18,24,4,2,1,17,21,81.0,18,1,60.9% (28/18)
Iglesias,Getafe,DF,2888,32,84,47.9,35,38,45,4,0,0,46,90,51.1,50,1,47.9% (35/38)
Juan Berrocal,Getafe,DF,1063,1,25,63.8,30,17,17,8,1,1,10,14,71.4,15,0,63.8% (30/17)
Omar Alderete,Getafe,DF,2971,25,112,66.4,101,51,33,8,0,0,20,30,66.7,40,1,66.4% (101/51)
Alejandro Francés,Girona,DF,1173,18,63,31.6,6,13,20,2,0,0,28,40,70.0,17,0,31.6% (6/13)
Daley Blind,Girona,DF,2780,71,272,41.5,17,24,19,2,0,0,31,48,64.6,32,2,41.5% (17/24)
David López,Girona,DF,2429,17,132,50.8,30,29,12,4,0,0,18,31,58.1,14,2,50.8% (30/29)
Juanpe,Girona,DF,727,2,26,73.5,25,9,4,2,0,0,6,8,75.0,8,1,73.5% (25/9)
Ladislav Krejčí,Girona,DF,2440,29,144,69.6,55,24,24,9,0,0,14,26,53.8,34,5,69.6% (55/24)
Juan Herzog,Las Palmas,DF,1315,0,27,63.8,44,25,6,1,0,0,9,16,56.3,18,0,63.8% (44/25)
Mika Mármol,Las Palmas,DF,2399,33,106,57.1,28,21,33,5,0,0,34,52,65.4,38,2,57.1% (28/21)
Scott McKenna,Las Palmas,DF,2466,11,45,65.9,85,44,13,5,1,0,9,12,75.0,9,2,65.9% (85/44)
Viti,Las Palmas,DF,1982,43,44,48.6,18,19,28,5,0,0,31,45,68.9,27,0,48.6% (18/19)
Álex Muñoz,Las Palmas,DF,1415,15,45,53.3,24,21,30,3,0,0,21,38,55.3,16,0,53.3% (24/21)
Álex Suárez,Las Palmas,DF,2460,6,53,34.2,25,48,27,12,0,0,20,27,74.1,13,2,34.2% (25/48)
Javi Hernández,Leganés,DF,2389,40,80,47.7,21,23,49,6,0,0,17,46,37.0,23,0,47.7% (21/23)
Jorge Sáenz,Leganés,DF,1690,5,36,51.9,41,38,30,4,1,0,11,20,55.0,25,0,51.9% (41/38)
Matija Nastasić,Leganés,DF,2110,1,59,69.6,39,17,15,3,0,0,17,25,68.0,21,0,69.6% (39/17)
Sergi,Leganés,DF,2957,3,77,52.1,63,58,30,2,1,0,18,32,56.3,39,2,52.1% (63/58)
Valentin Rosier,Leganés,DF,2595,41,74,60.5,26,17,44,8,0,0,43,68,63.2,52,2,60.5% (26/17)
Antonio Raillo,Mallorca,DF,3207,31,108,61.1,132,84,50,7,1,0,14,20,70.0,29,1,61.1% (132/84)
Copete,Mallorca,DF,1528,10,47,62.8,27,16,27,6,0,0,11,12,91.7,17,2,62.8% (27/16)
Johan Mojica,Mallorca,DF,2755,66,130,33.3,9,18,18,5,0,0,19,40,47.5,26,3,33.3% (9/18)
Martin Valjent,Mallorca,DF,2763,23,91,54.4,49,41,15,4,0,0,15,25,60.0,18,1,54.4% (49/41)
Mateu Morey,Mallorca,DF,741,17,17,57.1,8,6,17,1,0,0,12,22,54.5,15,2,57.1% (8/6)
Pablo Maffeo,Mallorca,DF,2368,46,74,53.8,21,18,22,7,0,0,34,46,73.9,25,1,53.8% (21/18)
Toni Lato,Mallorca,DF,621,15,26,46.2,6,7,12,1,1,0,7,11,63.6,6,0,46.2% (6/7)
Abel,Osasuna,DF,2074,50,77,54.1,20,17,25,3,0,0,39,63,61.9,18,2,54.1% (20/17)
Catena,Osasuna,DF,3074,9,89,65.7,67,35,36,11,0,0,27,44,61.4,35,2,65.7% (67/35)
Enzo Boyomo,Osasuna,DF,2987,16,111,45.3,29,35,43,5,0,0,30,39,76.9,44,3,45.3% (29/35)
Jesús Areso,Osasuna,DF,3079,101,106,58.7,27,19,31,9,0,0,39,56,69.6,8,0,58.7% (27/19)
Jorge Herrando,Osasuna,DF,1366,7,38,72.5,29,11,25,3,0,0,9,15,60.0,12,2,72.5% (29/11)
Juan Cruz Armada,Osasuna,DF,1492,9,53,47.4,9,10,16,4,0,0,15,24,62.5,9,0,47.4% (9/10)
Abdul Mumin,Rayo Vallecano,DF,2017,12,40,55.4,31,25,22,6,1,0,17,27,63.0,23,0,55.4% (31/25)
Alfonso Espino,Rayo Vallecano,DF,833,10,39,56.0,14,11,18,4,0,0,26,47,55.3,12,1,56.0% (14/11)
Andrei Ratiu,Rayo Vallecano,DF,3065,122,145,37.7,20,33,24,5,0,0,42,70,60.0,27,2,37.7% (20/33)
Aridane Hernández,Rayo Vallecano,DF,1025,2,38,67.8,40,19,5,1,0,0,6,8,75.0,6,2,67.8% (40/19)
Florian Lejeune,Rayo Vallecano,DF,3325,21,143,60.5,92,60,50,8,0,0,23,43,53.5,41,1,60.5% (92/60)
Iván Balliu,Rayo Vallecano,DF,1200,8,46,35.0,14,26,19,3,0,0,6,18,33.3,13,0,35.0% (14/26)
Antonio Rüdiger,Real Madrid,DF,2291,20,94,59.3,35,24,15,3,0,0,11,15,73.3,9,1,59.3% (35/24)
