jogador,time,posicao,idade,Minutos,G-PK,Assist,Xg,xAG,xG+xAg,Prgc,PrgP,Cross,Faltas Sofridas,KeyPass,1/3,passPA,crossPA,Dribles tentados,Dribles Certos,Corridas 1/3,Corridas PA,PrgR
Pedro Neto,Chelsea,FW,24,2269,4,6,3.5,6.7,10.2,126,60,149,33,46,30,37,23,104,34,57,45,253
Roméo Lavia,Chelsea,MF,20,797,0,1,0.3,0.7,1.0,3,31,0,7,7,49,3,0,16,10,9,0,7
Adam Wharton,Crystal Palace,MF,20,1318,0,2,0.4,3.0,3.4,14,107,39,21,26,78,18,5,10,2,23,2,11
Daichi Kamada,Crystal Palace,MF,27,1564,0,0,1.1,1.9,3.0,25,88,32,21,20,48,14,3,19,7,19,6,56
Eberechi Eze,Crystal Palace,"MF,FW",26,2588,7,8,10.4,6.2,15.1,68,97,110,51,58,49,39,4,137,67,48,22,153
Eddie Nketiah,Crystal Palace,"FW,MF",25,1034,3,1,5.7,1.7,7.4,41,19,5,29,13,11,5,0,31,11,25,14,78
Ismaila Sarr,Crystal Palace,MF,26,2711,8,6,10.8,8.5,19.3,76,86,55,56,44,28,42,9,61,17,47,28,183
Jean-Philippe Mateta,Crystal Palace,FW,27,2648,12,2,13.6,3.2,15.2,45,53,26,28,29,35,16,2,46,20,21,11,122
Will Hughes,Crystal Palace,MF,29,2108,0,3,1.1,3.1,4.2,20,87,71,31,33,76,15,3,16,5,24,1,27
Abdoulaye Doucouré,Everton,MF,31,2564,3,2,4.1,2.4,6.6,42,82,23,5,28,44,15,0,45,24,26,8,96
Beto,Everton,FW,26,1534,8,0,8.2,1.2,9.4,15,16,4,23,12,7,8,1,38,19,12,9,77
Carlos Alcaraz,Everton,"FW,MF",21,764,2,3,1.7,1.6,3.4,19,42,11,12,13,20,18,3,18,9,21,2,21
Dominic Calvert-Lewin,Everton,FW,27,1609,3,1,6.7,0.6,7.4,23,20,6,23,7,20,5,1,25,10,8,17,112
Dwight McNeil,Everton,"MF,FW",24,1371,4,6,1.1,5.2,6.3,38,69,105,18,37,40,36,10,45,24,34,5,80
Idrissa Gana Gueye,Everton,MF,34,3063,0,3,1.1,1.7,2.8,27,145,7,46,19,154,10,3,39,18,27,4,27
Iliman Ndiaye,Everton,FW,24,2430,7,0,6.2,1.9,6.5,86,59,38,52,18,42,14,5,143,68,44,32,122
Jack Harrison,Everton,FW,27,2076,1,0,3.5,3.7,7.2,73,51,131,28,33,28,25,11,75,24,36,17,127
Jesper Lindstrøm,Everton,FW,24,1239,0,1,2.1,2.0,4.1,30,25,71,10,19,18,12,7,43,8,19,7,81
Orel Mangala,Everton,MF,26,1261,1,0,1.1,0.6,1.8,6,34,6,17,8,50,8,1,24,14,6,3,19
Adama Traoré,Fulham,"FW,MF",28,1772,2,7,4.0,4.9,8.9,100,68,100,32,42,36,38,22,97,48,45,33,161
Alex Iwobi,Fulham,"FW,MF",28,2981,9,6,4.7,7.0,11.8,144,213,126,18,59,115,86,19,97,48,105,37,246
Andreas Pereira,Fulham,MF,28,2013,2,4,3.8,4.6,7.6,29,104,171,24,57,67,19,4,30,14,38,9,81
Emile Smith Rowe,Fulham,MF,24,2043,6,3,4.5,1.4,6.0,53,126,16,14,24,80,15,1,35,16,40,12,127
Harry Wilson,Fulham,"FW,MF",27,1162,6,1,4.2,1.1,5.3,22,51,41,22,20,26,15,1,24,9,18,11,96
Raúl Jiménez,Fulham,FW,33,2494,9,3,12.0,3.3,12.9,35,62,23,41,24,41,14,3,50,21,24,17,125
Rodrigo Muniz,Fulham,FW,23,964,8,1,5.8,0.7,6.5,6,27,1,31,7,13,3,0,18,6,4,3,31
Sander Berge,Fulham,MF,26,2224,0,0,0.4,0.6,1.0,29,124,3,10,18,116,5,0,20,11,25,2,9
Saša Lukić,Fulham,MF,27,2344,0,2,1.2,2.7,3.9,39,98,62,26,26,104,17,7,17,8,40,4,33
Tom Cairney,Fulham,MF,33,628,2,0,0.8,1.1,1.8,18,53,20,19,11,53,7,3,13,5,17,4,33
Conor Chaplin,Ipswich Town,"MF,FW",27,857,1,1,1.5,0.7,2.2,13,29,9,7,8,21,7,2,8,4,9,0,23
George Hirst,Ipswich Town,FW,25,661,3,1,2.1,0.3,2.5,9,13,3,12,4,1,4,0,6,2,2,7,31
Jack Clarke,Ipswich Town,"FW,MF",23,1181,0,4,1.2,2.3,3.5,39,44,13,23,28,27,9,0,50,25,21,12,57
Jack Taylor,Ipswich Town,MF,26,860,1,0,0.7,0.5,1.3,11,43,7,5,5,30,8,1,11,4,10,1,23
