jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Ángel Correa,Atlético Madrid,"FW,MF",805,4.5,2.1,4,1,30,25,14,19,24,38,13,34.2% (13/38),55
Dani Olmo,Barcelona,"MF,FW",1212,6.5,3.0,8,3,33,81,26,49,21,45,23,51.1% (23/45),114
Fermin López,Barcelona,"MF,FW",1252,5.6,3.9,6,5,31,79,29,65,47,55,25,45.5% (25/55),110
Ferrán Torres,Barcelona,"FW,MF",1106,8.0,3.1,10,6,23,35,19,17,17,21,11,52.4% (11/21),58
Frenkie de Jong,Barcelona,MF,1143,0.7,2.0,2,2,36,120,21,140,6,8,5,62.5% (5/8),156
Gavi,Barcelona,"MF,FW",1085,0.9,1.6,1,1,13,77,14,92,9,18,9,50.0% (9/18),90
Lamine Yamal,Barcelona,FW,2856,9.8,13.9,9,13,181,160,64,78,108,316,161,50.9% (161/316),341
Marc Casado,Barcelona,MF,1611,1.1,1.4,1,3,12,107,9,138,9,9,4,44.4% (4/9),119
Pedri,Barcelona,MF,2879,2.2,7.4,4,5,92,360,70,331,58,61,40,65.6% (40/61),452
Raphinha,Barcelona,"FW,MF",2839,19.2,12.7,16,9,94,135,91,87,215,103,52,50.5% (52/103),229
Robert Lewandowski,Barcelona,FW,2667,27.1,2.3,24,2,27,48,19,31,5,35,20,57.1% (20/35),75
Abde Ezzalzouli,Betis,"FW,MF",1984,8.0,2.0,2,2,117,68,27,42,49,103,46,44.7% (46/103),185
Antony,Betis,FW,1362,2.9,3.5,5,2,94,67,36,34,40,63,24,38.1% (24/63),161
Cucho,Betis,FW,1139,3.8,1.5,5,1,27,34,14,20,12,26,17,65.4% (17/26),61
Cédric Bakambu,Betis,FW,710,3.2,0.6,2,2,9,14,8,9,2,7,1,14.3% (1/7),23
Ezequiel Ávila,Betis,FW,677,1.5,1.0,2,0,12,18,15,1,29,11,5,45.5% (5/11),30
Giovani Lo Celso,Betis,"MF,FW",1457,4.8,4.9,6,3,26,132,43,89,95,55,21,38.2% (21/55),158
Isco,Betis,MF,1547,8.6,4.4,4,8,38,152,61,120,92,59,27,45.8% (27/59),190
Jesus Rodríguez,Betis,FW,1111,2.3,0.2,2,0,53,35,8,15,18,84,30,35.7% (30/84),88
Johnny Cardoso,Betis,MF,2144,2.0,0.9,3,1,19,71,9,63,3,42,26,61.9% (26/42),90
Marc Roca,Betis,MF,906,1.1,1.0,2,2,11,59,12,51,10,5,4,80.0% (4/5),70
Pablo Fornals,Betis,"MF,FW",1827,1.8,3.3,2,0,32,146,36,93,54,28,8,28.6% (8/28),178
Sergi Altimira,Betis,MF,1972,1.7,1.7,0,1,25,99,22,91,5,24,16,66.7% (16/24),124
Vitor Roque,Betis,FW,1235,6.1,1.2,4,0,24,17,12,4,6,39,10,25.6% (10/39),41
Alfon,Celta Vigo,"FW,MF",1371,4.6,2.6,5,2,89,22,24,8,40,63,25,39.7% (25/63),111
Anastasios Douvikas,Celta Vigo,FW,700,4.4,0.2,3,1,6,6,3,2,1,13,4,30.8% (4/13),12
Borja Iglesias,Celta Vigo,FW,1952,9.3,3.2,11,3,22,28,18,20,6,32,11,34.4% (11/32),50
Damián Rodríguez,Celta Vigo,MF,927,0.1,0.8,0,0,8,71,17,85,30,2,0,0.0% (0/2),79
Fer López,Celta Vigo,"FW,MF",671,2.7,1.9,2,0,27,43,14,19,2,34,18,52.9% (18/34),70
Fran Beltrán,Celta Vigo,MF,2421,1.0,1.8,2,1,28,152,15,132,5,19,10,52.6% (10/19),180
Hugo Sotelo,Celta Vigo,MF,1254,0.2,1.7,0,0,21,83,19,100,50,20,8,40.0% (8/20),104
Iago Aspas,Celta Vigo,"FW,MF",1745,8.7,4.6,5,5,50,132,38,74,15,27,15,55.6% (15/27),182
Ilaix Moriba,Celta Vigo,MF,2132,1.7,1.5,1,1,34,119,20,107,6,49,15,30.6% (15/49),153
Jonathan Bamba,Celta Vigo,"FW,MF",811,0.8,1.8,0,1,31,30,12,20,25,38,15,39.5% (15/38),61
Pablo Durán,Celta Vigo,"FW,MF",1394,3.6,2.8,4,4,24,30,17,21,18,42,12,28.6% (12/42),54
Williot Swedberg,Celta Vigo,"FW,MF",1348,5.2,2.6,4,5,34,28,16,16,18,44,10,22.7% (10/44),62
Alejo Véliz,Espanyol,FW,1127,2.3,0.6,1,0,2,8,3,9,0,5,1,20.0% (1/5),10
Alex Král,Espanyol,MF,2714,1.5,1.5,0,1,49,78,12,74,38,55,29,52.7% (29/55),127
Antoniu,Espanyol,"FW,MF",1022,0.9,1.1,0,1,35,28,7,10,20,54,29,53.7% (29/54),63
Edu Expósito,Espanyol,MF,1045,1.0,3.2,0,2,23,64,28,36,66,28,15,53.6% (15/28),87
Irvin Cardona,Espanyol,"FW,MF",606,1.1,0.6,1,1,14,15,9,9,14,13,3,23.1% (3/13),29
Javi Puado,Espanyol,"FW,MF",2974,11.6,3.0,7,4,73,75,22,36,27,61,21,34.4% (21/61),148
Jofre,Espanyol,"MF,FW",2165,2.5,2.5,3,3,65,48,24,17,54,112,39,34.8% (39/112),113
Pol Lozano,Espanyol,MF,1943,0.2,0.8,0,1,18,115,17,95,19,19,5,26.3% (5/19),133
Roberto Férnandez,Espanyol,FW,1497,3.6,0.6,6,0,7,17,8,9,2,27,11,40.7% (11/27),24
Urko González,Espanyol,MF,1374,0.5,0.7,0,2,18,62,10,37,3,17,6,35.3% (6/17),80
Walid Cheddira,Espanyol,FW,640,1.0,1.2,1,1,8,12,6,3,2,20,4,20.0% (4/20),20
Alex Sola,Getafe,"MF,FW",1029,1.0,0.7,0,1,24,23,9,12,18,61,21,34.4% (21/61),47
Bertuğ Yıldırım,Getafe,FW,1083,2.5,1.2,1,0,8,14,9,9,7,16,7,43.8% (7/16),22
Borja Mayoral,Getafe,FW,1114,3.4,0.9,4,1,10,13,8,11,9,20,6,30.0% (6/20),23
Carles Pérez,Getafe,"MF,FW",1431,2.4,1.5,3,0,31,20,17,17,42,50,21,42.0% (21/50),51
Christantus Uche,Getafe,"FW,MF",2486,3.8,2.9,4,6,43,49,29,37,22,91,32,35.2% (32/91),92
Coba da Costa,Getafe,"MF,FW",1006,1.1,1.4,1,1,46,16,9,14,41,56,19,33.9% (19/56),62
Juanmi,Getafe,"FW,MF",696,2.9,0.3,0,0,6,8,4,3,0,10,4,40.0% (4/10),14
Luis Milla,Getafe,MF,2875,1.8,3.9,0,4,32,152,70,149,201,39,21,53.8% (21/39),184
Mauro Arambarri,Getafe,MF,2661,8.2,0.6,7,0,17,75,17,74,14,34,18,52.9% (18/34),92
Ramón Terrats,Getafe,"MF,FW",1219,2.2,2.5,4,1,8,36,16,29,35,50,25,50.0% (25/50),44
Álvaro Rodríguez,Getafe,FW,852,1.2,0.3,2,0,6,13,5,15,5,33,16,48.5% (16/33),19
Abel Ruiz,Girona,FW,1346,4.6,0.5,3,0,21,23,8,14,4,20,7,35.0% (7/20),44
Arnaut Danjuma,Girona,"FW,MF",1335,3.6,1.7,2,0,91,41,22,17,76,67,24,35.8% (24/67),132
Arthur Melo,Girona,MF,941,0.2,0.2,0,0,24,70,5,70,7,14,8,57.1% (8/14),94
Bojan Miovski,Girona,FW,869,2.7,0.2,2,1,4,4,4,2,3,7,3,42.9% (3/7),8
Bryan Gil,Girona,"FW,MF",1721,2.3,2.9,3,3,76,74,21,27,78,104,41,39.4% (41/104),150
Cristhian Stuani,Girona,FW,1078,8.1,0.6,8,2,2,10,6,1,2,5,2,40.0% (2/5),12
Donny van de Beek,Girona,MF,1421,1.5,3.2,2,2,17,45,18,21,11,13,6,46.2% (6/13),62
Iván Martín,Girona,MF,2039,1.8,1.9,1,1,57,131,22,101,21,47,25,53.2% (25/47),188
Oriol Romeu,Girona,MF,1356,0.1,0.3,0,0,22,73,8,81,8,8,4,50.0% (4/8),95
Portu,Girona,"FW,MF",779,1.6,1.7,1,2,20,16,14,12,26,10,4,40.0% (4/10),36
Viktor Tsyhankov,Girona,"FW,MF",1913,2.8,3.9,2,5,62,65,33,38,124,35,15,42.9% (15/35),127
Yangel Herrera,Girona,MF,2257,3.6,1.5,4,3,31,110,17,97,44,47,19,40.4% (19/47),141
Yaser Asprilla,Girona,"FW,MF",1405,2.1,2.8,3,1,72,77,24,35,93,64,29,45.3% (29/64),149
Alberto Moleiro,Las Palmas,"FW,MF",2714,5.6,3.3,6,1,97,116,41,75,32,150,64,42.7% (64/150),213
Dario Essugo,Las Palmas,MF,1938,0.7,0.4,1,0,18,76,13,73,1,18,12,66.7% (12/18),94
Enzo Loiodice,Las Palmas,MF,684,0.3,0.2,0,0,3,31,5,30,10,13,4,30.8% (4/13),34
Fábio Silva,Las Palmas,FW,1866,8.8,2.0,8,3,30,26,16,13,21,53,21,39.6% (21/53),56
Jaime Mata,Las Palmas,"FW,MF",656,2.6,0.1,0,0,6,10,3,8,9,9,5,55.6% (5/9),16
José Campaña,Las Palmas,MF,1189,0.1,0.9,0,3,11,87,14,72,34,18,8,44.4% (8/18),98
Kirian Rodríguez,Las Palmas,MF,1758,1.6,1.5,0,3,25,128,16,106,18,16,11,68.8% (11/16),153
Manuel Fuster,Las Palmas,"FW,MF",1003,0.7,1.8,2,1,23,71,28,56,67,17,5,29.4% (5/17),94
Oliver McBurnie,Las Palmas,FW,1837,4.8,2.8,3,6,7,27,24,23,2,34,16,47.1% (16/34),34
Sandro Ramírez,Las Palmas,"FW,MF",2034,4.1,3.4,8,3,52,52,28,33,122,47,16,34.0% (16/47),104
Dani Raba,Leganés,"FW,MF",1879,7.5,5.3,4,6,42,69,47,50,90,91,46,50.5% (46/91),111
Darko Brašanac,Leganés,MF,1617,1.8,0.4,1,2,6,43,9,28,11,7,2,28.6% (2/7),49
Diego,Leganés,FW,1195,3.8,0.2,3,0,9,16,6,8,5,10,4,40.0% (4/10),25
Juan Cruz,Leganés,"FW,MF",2257,2.7,4.1,5,4,59,66,24,34,92,78,40,51.3% (40/78),125
Miguel,Leganés,FW,1724,4.9,1.4,0,3,14,16,7,9,9,36,8,22.2% (8/36),30
Munir El Haddadi,Leganés,"FW,MF",862,1.6,0.8,4,0,11,29,8,19,13,21,7,33.3% (7/21),40
Seydouba Cissé,Leganés,MF,2435,3.0,1.0,3,1,26,110,17,86,10,45,30,66.7% (30/45),136
Yvan Neyou,Leganés,MF,2312,0.6,0.6,1,1,24,96,13,86,15,42,19,45.2% (19/42),120
Óscar Rodríguez Arnaiz,Leganés,"MF,FW",1330,2.1,2.2,1,4,24,60,19,31,55,52,21,40.4% (21/52),84
Cyle Larin,Mallorca,FW,1764,6.9,1.4,6,2,20,20,8,11,6,30,8,26.7% (8/30),40
Dani Rodríguez,Mallorca,"MF,FW",2162,2.8,3.1,4,7,37,78,33,42,116,34,16,47.1% (16/34),115
Manu Morlanes,Mallorca,MF,1338,0.6,0.3,0,0,16,88,10,84,8,8,3,37.5% (3/8),104
Omar Mascarell,Mallorca,MF,1992,0.5,0.2,1,0,10,75,3,72,5,15,10,66.7% (10/15),85
Roberto Navarro,Mallorca,"MF,FW",1278,2.0,1.9,1,0,45,51,13,27,29,67,35,52.2% (35/67),96
Samu Costa,Mallorca,MF,2649,1.8,1.2,0,2,24,116,15,117,20,33,13,39.4% (13/33),140
Sergi Darder,Mallorca,"MF,FW",2744,2.1,3.7,2,6,37,142,54,122,163,74,34,45.9% (34/74),179
Takuma Asano,Mallorca,"FW,MF",1054,2.7,0.7,2,1,28,20,6,8,20,25,6,24.0% (6/25),48
Vedat Muriqi,Mallorca,FW,2058,9.7,2.2,5,2,23,30,26,23,10,26,9,34.6% (9/26),53
Aimar Oroz,Osasuna,MF,2966,4.2,2.9,4,4,74,163,41,91,29,101,49,48.5% (49/101),237
Ante Budimir,Osasuna,FW,2952,18.3,1.7,13,4,23,24,16,12,6,43,10,23.3% (10/43),47
Bryan Zaragoza,Osasuna,"FW,MF",1836,2.7,3.2,1,6,105,50,36,23,104,131,57,43.5% (57/131),155
Iker Muñoz,Osasuna,MF,610,0.5,1.0,0,1,6,24,6,30,7,4,2,50.0% (2/4),30
Jon Moncayola,Osasuna,MF,2099,1.6,3.7,0,0,25,107,33,76,107,12,4,33.3% (4/12),132
Lucas Torró,Osasuna,MF,2957,2.3,1.2,3,0,10,109,10,114,1,9,6,66.7% (6/9),119
Moi Gómez,Osasuna,"MF,FW",796,0.5,0.8,0,0,13,49,11,46,28,26,14,53.8% (14/26),62
Pablo Ibáñez,Osasuna,MF,1294,1.6,1.6,1,1,21,51,6,35,13,27,13,48.1% (13/27),72
Raúl,Osasuna,"FW,MF",750,3.5,0.7,4,0,10,16,3,11,6,20,11,55.0% (11/20),26
Rubén García,Osasuna,"FW,MF",2413,3.2,3.6,5,5,37,112,49,77,136,36,12,33.3% (12/36),149
Adri Embarba,Rayo Vallecano,"FW,MF",1607,2.1,2.7,1,1,47,45,20,23,114,56,20,35.7% (20/56),92
Gerard Gumbau,Rayo Vallecano,MF,849,1.1,1.3,0,1,2,41,17,37,38,4,2,50.0% (2/4),43
Isaac Palazón Camacho,Rayo Vallecano,"MF,FW",2162,4.7,4.4,4,4,30,117,48,77,111,66,25,37.9% (25/66),147
Jorge de Frutos,Rayo Vallecano,"FW,MF",2495,6.3,3.4,6,3,77,44,31,22,69,104,32,30.8% (32/104),121
Pedro Díaz,Rayo Vallecano,MF,1211,2.4,2.1,3,0,27,62,26,45,42,34,20,58.8% (20/34),89
Randy Nteka,Rayo Vallecano,FW,1129,2.6,0.5,3,0,10,8,9,5,4,15,5,33.3% (5/15),18
Sergio Camello,Rayo Vallecano,FW,1134,4.1,2.0,3,2,20,27,19,12,6,23,13,56.5% (13/23),47
Unai López,Rayo Vallecano,MF,1707,1.6,1.0,3,1,22,112,19,106,33,23,15,65.2% (15/23),134
Álvaro García,Rayo Vallecano,"FW,MF",2559,7.6,5.0,4,5,68,71,50,27,109,27,10,37.0% (10/27),139
Óscar Valentín,Rayo Vallecano,MF,1835,0.4,0.9,0,0,13,86,13,74,2,11,5,45.5% (5/11),99
Arda Güler,Real Madrid,"MF,FW",1250,3.3,4.5,3,4,34,93,40,82,57,45,20,44.4% (20/45),127
Brahim Díaz,Real Madrid,"FW,MF",1385,5.3,3.3,4,2,39,74,23,56,8,47,24,51.1% (24/47),113
Dani Ceballos,Real Madrid,MF,1215,0.4,1.6,0,0,42,150,22,156,14,15,8,53.3% (8/15),192
Jude Bellingham,Real Madrid,MF,2488,11.4,3.9,8,8,74,199,42,130,18,75,41,54.7% (41/75),273
Kylian Mbappé,Real Madrid,FW,2907,25.9,7.7,24,3,150,140,51,75,35,187,83,44.4% (83/187),290
Luka Modrić,Real Madrid,MF,1827,1.6,7.0,2,6,62,208,66,225,112,24,14,58.3% (14/24),270
Rodrygo,Real Madrid,"FW,MF",1928,4.0,3.0,6,5,113,108,49,66,81,111,49,44.1% (49/111),221
Vinicius Júnior,Real Madrid,FW,2253,10.4,8.0,9,8,169,85,58,53,56,191,82,42.9% (82/191),254
Ander Barrenetxea,Real Sociedad,"MF,FW",1263,1.6,1.9,1,3,43,48,16,23,54,69,26,37.7% (26/69),91
Beñat Turrientes,Real Sociedad,MF,942,0.6,0.2,0,0,18,42,3,40,19,24,13,54.2% (13/24),60
Brais Méndez,Real Sociedad,MF,1531,3.5,2.0,3,2,32,91,23,68,52,50,14,28.0% (14/50),123
Luka Sučić,Real Sociedad,MF,1792,3.3,2.6,1,1,30,79,25,52,18,53,25,47.2% (25/53),109
Martín Zubimendi,Real Sociedad,MF,2962,2.6,1.1,2,1,38,195,19,172,12,28,19,67.9% (19/28),233
Mikel Oyarzabal,Real Sociedad,FW,2250,9.9,2.4,5,3,31,28,15,19,10,20,9,45.0% (9/20),59
Olasagasti,Real Sociedad,MF,857,0.9,0.8,1,1,11,38,6,34,10,13,3,23.1% (3/13),49
Orri Steinn Óskarsson,Real Sociedad,FW,944,5.2,0.2,3,0,6,9,5,4,7,8,2,25.0% (2/8),15
Pablo Marín,Real Sociedad,MF,1239,1.4,1.0,1,2,20,45,14,38,12,35,20,57.1% (20/35),65
Sheraldo Becker,Real Sociedad,"FW,MF",995,2.0,2.0,2,1,51,23,8,6,64,11,4,36.4% (4/11),74
Takefusa Kubo,Real Sociedad,"MF,FW",2372,3.6,4.5,5,0,133,110,45,59,85,157,75,47.8% (75/157),243
Albert Sambi Lokonga,Sevilla,MF,1471,0.9,1.0,0,2,24,93,19,81,2,10,4,40.0% (4/10),117
Chidera Ejuke,Sevilla,FW,966,1.1,1.9,2,1,75,38,21,18,22,85,47,55.3% (47/85),113
Djibril Sow,Sevilla,MF,2062,2.4,1.6,2,1,23,100,21,87,9,25,10,40.0% (10/25),123
Dodi Lukebakio,Sevilla,FW,3092,10.1,4.5,10,2,131,93,54,50,124,167,84,50.3% (84/167),224
Isaac Romero,Sevilla,FW,2156,6.8,2.1,4,2,21,29,20,20,18,65,21,32.3% (21/65),50
Lucien Agoume,Sevilla,MF,2114,0.9,2.5,1,3,29,135,27,126,18,30,22,73.3% (22/30),164
Peque,Sevilla,"MF,FW",1134,2.5,1.2,1,1,14,35,12,25,10,26,11,42.3% (11/26),49
Ruben Vargas,Sevilla,"FW,MF",671,2.0,0.8,2,1,29,14,13,11,37,33,12,36.4% (12/33),43
Saúl Ñíguez,Sevilla,MF,1553,2.8,2.5,1,6,13,66,22,51,19,28,12,42.9% (12/28),79
Suso,Sevilla,"FW,MF",606,0.7,1.6,0,2,20,43,22,31,59,32,14,43.8% (14/32),63
Diego López,Valencia,"MF,FW",2737,6.6,5.0,8,5,76,85,38,43,67,77,23,29.9% (23/77),161
Domingos André Ribeiro Almeida,Valencia,"MF,FW",1977,1.2,3.2,0,4,45,142,43,96,67,54,22,40.7% (22/54),187
Enzo Barrenechea,Valencia,MF,2191,1.3,0.9,1,2,21,126,15,143,3,31,11,35.5% (11/31),147
Hugo Duro,Valencia,FW,2166,9.4,1.3,10,2,13,28,14,18,7,20,7,35.0% (7/20),41
Javier Guerra,Valencia,MF,2581,2.2,3.2,3,3,50,137,23,119,45,78,29,37.2% (29/78),187
José Luis García Vayá,Valencia,MF,1742,2.1,2.1,0,2,13,142,32,163,109,13,8,61.5% (8/13),155
Luis Rioja,Valencia,"MF,FW",2831,3.3,4.5,3,3,93,103,35,42,203,91,43,47.3% (43/91),196
Rafa Mir,Valencia,"FW,MF",753,3.0,0.7,1,2,10,20,4,15,7,14,2,14.3% (2/14),30
Umar Sadiq,Valencia,FW,825,3.4,0.7,5,0,9,7,6,4,0,25,11,44.0% (11/25),16
Anuar,Valladolid,"MF,FW",1720,1.7,1.2,2,0,24,30,7,19,22,24,7,29.2% (7/24),54
Chuky san jose,Valladolid,MF,728,2.2,1.2,2,0,6,15,8,10,24,9,4,44.4% (4/9),21
Darwin Machís,Valladolid,"MF,FW",639,0.9,0.5,0,1,17,19,8,17,68,20,5,25.0% (5/20),36
Florian Grillitsch,Valladolid,MF,623,0.1,0.7,0,0,9,38,8,29,6,15,11,73.3% (11/15),47
Iván Sánchez,Valladolid,"MF,FW",1404,0.7,2.9,2,1,60,77,24,52,114,49,28,57.1% (28/49),137
Juanmi Latasa,Valladolid,FW,1398,4.2,0.9,3,0,3,17,13,11,5,15,8,53.3% (8/15),20
Kike Pérez,Valladolid,MF,1191,2.1,1.0,2,0,19,67,17,47,33,22,8,36.4% (8/22),86
Mamadou Sylla,Valladolid,"FW,MF",1583,5.1,1.7,1,1,15,22,14,13,9,17,5,29.4% (5/17),37
Marcos André,Valladolid,FW,1188,2.7,0.8,1,2,11,16,9,13,1,41,17,41.5% (17/41),27
Mario Martín,Valladolid,MF,1748,1.8,1.4,0,1,18,66,12,52,11,38,19,50.0% (19/38),84
Raúl Moro,Valladolid,"MF,FW",2341,4.1,5.7,4,5,112,81,44,41,149,132,57,43.2% (57/132),193
Selim Amallah,Valladolid,MF,1376,3.5,1.1,2,1,24,57,13,42,31,68,33,48.5% (33/68),81
Stanko Jurić,Valladolid,MF,1729,0.8,0.5,0,0,5,57,4,40,0,10,6,60.0% (6/10),62
Alex Baena,Villarreal,"MF,FW",2595,7.1,11.7,7,9,91,189,95,95,207,56,21,37.5% (21/56),280
Ayoze Pérez,Villarreal,FW,1970,12.7,3.0,19,2,59,73,32,37,15,78,34,43.6% (34/78),132
Daniel Parejo,Villarreal,MF,2273,2.5,1.8,2,3,19,176,23,176,37,12,8,66.7% (8/12),195
Denis Suárez,Villarreal,MF,608,0.9,1.5,1,1,27,35,14,21,25,17,10,58.8% (10/17),62
Gerard Moreno,Villarreal,FW,721,4.2,3.6,0,2,19,53,17,30,10,31,18,58.1% (18/31),72
Nicolas Pépé,Villarreal,"FW,MF",1500,3.8,4.8,3,6,76,60,33,25,44,64,27,42.2% (27/64),136
Pape Gueye,Villarreal,MF,2224,3.4,1.1,4,0,36,156,17,118,20,33,11,33.3% (11/33),192
Santi Comesaña,Villarreal,MF,2560,4.6,2.0,4,2,39,154,27,143,14,34,18,52.9% (18/34),193
Thierno Barry,Villarreal,FW,2323,12.5,2.9,10,4,44,27,23,14,5,50,18,36.0% (18/50),71
Yeremi Pino,Villarreal,"MF,FW",1934,3.9,5.3,4,7,42,66,37,35,47,58,25,43.1% (25/58),108
Esteban Lepaul,Angers,FW,1629,5.1,0.8,9,0,26,20,7,13,15,21,6,28.6% (6/21),46
Farid El Melali,Angers,FW,1893,3.6,3.1,2,3,62,43,25,18,87,119,52,43.7% (52/119),105
Haris Belkebla,Angers,MF,1792,0.1,0.9,0,1,8,69,5,68,3,22,9,40.9% (9/22),77
Himad Abdelli,Angers,"MF,FW",2842,6.4,3.2,3,1,107,207,39,171,44,121,57,47.1% (57/121),314
Ibrahima Niane,Angers,FW,943,5.7,1.0,2,1,19,9,9,13,2,19,6,31.6% (6/19),28
Jean-Eudes Aholou,Angers,MF,1959,1.8,1.0,2,0,15,68,10,46,2,28,12,42.9% (12/28),83
Jim Allevinah,Angers,FW,1750,4.2,2.5,1,3,57,48,15,28,34,48,15,31.2% (15/48),105
Yassin Belkhdim,Angers,MF,1523,0.8,0.6,1,1,17,37,5,27,16,15,2,13.3% (2/15),54
Zinedine Ferhat,Angers,"FW,MF",849,1.4,2.4,2,0,16,40,17,24,68,22,10,45.5% (10/22),56
Ado Onaiwu,Auxerre,"MF,FW",957,4.0,1.1,4,1,17,33,10,21,7,25,11,44.0% (11/25),50
Assane Dioussé,Auxerre,MF,663,0.1,0.2,0,0,1,33,2,21,1,6,2,33.3% (2/6),34
Elisha Owusu,Auxerre,MF,2344,0.4,1.0,1,3,8,78,14,53,8,23,9,39.1% (9/23),86
Gaëtan Perrin,Auxerre,"MF,FW",2691,6.1,7.8,10,11,83,142,73,87,162,127,60,47.2% (60/127),225
Hamed Junior Traorè,Auxerre,MF,2093,7.9,2.7,10,2,66,99,27,53,42,98,34,34.7% (34/98),165
Han-Noah Massengo,Auxerre,MF,1046,0.4,0.4,0,0,13,28,3,23,9,29,10,34.5% (10/29),41
Kévin Danois,Auxerre,MF,1460,1.5,2.2,0,0,19,95,25,62,14,41,21,51.2% (21/41),114
Lassine Sinayoko,Auxerre,"FW,MF",2299,6.5,5.5,4,8,53,62,37,28,25,73,28,38.4% (28/73),115
Theo Bair,Auxerre,FW,939,3.0,1.2,2,1,15,16,10,10,7,8,2,25.0% (2/8),31
Abdallah Sima,Brest,"FW,MF",1238,5.9,1.0,7,2,36,24,13,13,16,23,6,26.1% (6/23),60
Hugo Magnetti,Brest,MF,2323,0.8,0.4,1,0,21,80,6,70,18,24,9,37.5% (9/24),101
Kamory Doumbia,Brest,"MF,FW",1322,2.7,1.2,3,2,17,72,26,56,48,35,19,54.3% (19/35),89
Ludovic Ajorque,Brest,FW,2495,10.4,3.1,13,2,10,41,35,29,7,17,8,47.1% (8/17),51
Mahdi Camara,Brest,"MF,FW",2659,4.1,2.0,5,3,58,111,26,79,46,65,29,44.6% (29/65),169
Mama Samba Baldé,Brest,FW,1149,3.0,2.1,2,3,35,22,16,13,10,55,17,30.9% (17/55),57
Mathias Pereira Lage,Brest,"FW,MF",1571,3.3,3.5,2,7,32,41,22,23,99,28,10,35.7% (10/28),73
Pierre Lees-Melou,Brest,MF,1526,1.3,2.8,2,2,23,105,19,110,22,21,12,57.1% (12/21),128
Romain Del Castillo,Brest,FW,1259,4.7,3.4,3,4,29,61,37,44,103,44,19,43.2% (19/44),90
Romain Faivre,Brest,"MF,FW",899,2.6,1.9,2,2,24,44,10,34,26,42,17,40.5% (17/42),68
Abdoulaye Touré,Le Havre,MF,2324,9.4,0.4,2,1,17,109,7,90,11,33,17,51.5% (17/33),126
André Ayew,Le Havre,FW,1453,4.3,0.2,4,1,5,18,8,7,7,13,5,38.5% (5/13),23
Antoine Joujou,Le Havre,"MF,FW",943,0.6,3.0,0,2,44,18,15,8,37,61,30,49.2% (30/61),62
Emmanuel Sabbi,Le Havre,"FW,MF",653,1.9,0.6,0,0,11,15,4,5,15,29,11,37.9% (11/29),26
Issa Soumaré,Le Havre,"FW,MF",1902,3.8,3.1,5,4,61,45,28,17,42,57,16,28.1% (16/57),106
Josué Casimir,Le Havre,"FW,MF",1997,3.3,3.4,4,4,71,41,26,22,85,48,22,45.8% (22/48),112
Junior Mwanga,Le Havre,MF,952,1.3,1.0,1,2,15,42,7,37,21,16,7,43.8% (7/16),57
Koka,Le Havre,FW,851,4.9,0.6,2,1,0,12,5,8,0,12,6,50.0% (6/12),12
Oussama Targhalline,Le Havre,MF,990,0.1,0.7,0,0,25,66,6,50,16,13,5,38.5% (5/13),91
Rassoul Ndiaye,Le Havre,MF,1061,1.7,0.6,1,0,6,46,10,30,32,12,3,25.0% (3/12),52
Yassine Kechta,Le Havre,"MF,FW",2096,2.5,1.2,2,0,44,97,15,60,36,35,13,37.1% (13/35),141
Adrien Thomasson,Lens,MF,2615,5.9,6.0,3,7,30,149,56,99,58,60,26,43.3% (26/60),179
Anass Zaroury,Lens,"FW,MF",1405,1.7,2.9,2,2,49,65,35,39,125,35,17,48.6% (17/35),114
Andy Diouf,Lens,MF,2225,2.9,2.8,1,2,82,116,33,60,30,87,43,49.4% (43/87),198
Angelo Fulgini,Lens,"MF,FW",1045,2.4,3.8,1,1,29,69,28,31,44,38,11,28.9% (11/38),98
Florian Sotoca,Lens,"FW,MF",1794,4.6,1.5,1,1,44,105,18,74,75,39,16,41.0% (16/39),149
Goduine Koyalipou,Lens,FW,885,4.8,0.8,4,0,15,20,10,4,2,25,12,48.0% (12/25),35
M'Bala Nzola,Lens,FW,1460,8.6,1.3,6,1,26,22,20,7,1,38,14,36.8% (14/38),48
Neil El Aynaoui,Lens,MF,1588,4.0,2.0,5,1,11,75,22,76,65,21,5,23.8% (5/21),86
Rémy Labeau Lascary,Lens,"FW,MF",637,2.5,1.1,2,1,17,7,7,7,19,26,12,46.2% (12/26),24
Wesley Saïd,Lens,FW,905,3.2,1.0,3,0,16,24,9,11,8,19,9,47.4% (9/19),40
André Gomes,Lille,MF,1276,0.5,0.7,0,0,18,101,10,96,11,24,10,41.7% (10/24),119
Angel Gomes,Lille,MF,736,1.7,2.1,1,1,15,49,14,32,10,10,5,50.0% (5/10),64
Ayyoub Bouaddi,Lille,MF,1151,0.1,1.0,0,1,11,37,5,36,3,29,14,48.3% (14/29),48
Benjamin André,Lille,MF,2692,1.4,1.9,0,3,29,209,21,207,16,22,9,40.9% (9/22),238
Chuba Akpom,Lille,FW,639,5.0,0.5,2,1,6,7,5,1,1,9,4,44.4% (4/9),13
Edon Zhegrova,Lille,"FW,MF",978,2.3,2.2,4,1,37,54,16,17,58,55,23,41.8% (23/55),91
