jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Noni Madueke,Chelsea,FW,2033,9.6,4.2,7,3,154,69,32,16,63,102,45,44.1% (45/102),223
Pedro Neto,Chelsea,FW,2269,3.5,6.7,4,6,126,60,46,30,149,104,34,32.7% (34/104),186
Roméo Lavia,Chelsea,MF,797,0.3,0.7,0,1,3,31,7,49,0,16,10,62.5% (10/16),34
Adam Wharton,Crystal Palace,MF,1318,0.4,3.0,0,2,14,107,26,78,39,10,2,20.0% (2/10),121
Daichi Kamada,Crystal Palace,MF,1564,1.1,1.9,0,0,25,88,20,48,32,19,7,36.8% (7/19),113
Eberechi Eze,Crystal Palace,"MF,FW",2588,10.4,6.2,7,8,68,97,58,49,110,137,67,48.9% (67/137),165
Eddie Nketiah,Crystal Palace,"FW,MF",1034,5.7,1.7,3,1,41,19,13,11,5,31,11,35.5% (11/31),60
Ismaila Sarr,Crystal Palace,MF,2711,10.8,8.5,8,6,76,86,44,28,55,61,17,27.9% (17/61),162
Jean-Philippe Mateta,Crystal Palace,FW,2648,13.6,3.2,12,2,45,53,29,35,26,46,20,43.5% (20/46),98
Will Hughes,Crystal Palace,MF,2108,1.1,3.1,0,3,20,87,33,76,71,16,5,31.2% (5/16),107
Abdoulaye Doucouré,Everton,MF,2564,4.1,2.4,3,2,42,82,28,44,23,45,24,53.3% (24/45),124
Beto,Everton,FW,1534,8.2,1.2,8,0,15,16,12,7,4,38,19,50.0% (19/38),31
Carlos Alcaraz,Everton,"FW,MF",764,1.7,1.6,2,3,19,42,13,20,11,18,9,50.0% (9/18),61
Dominic Calvert-Lewin,Everton,FW,1609,6.7,0.6,3,1,23,20,7,20,6,25,10,40.0% (10/25),43
Dwight McNeil,Everton,"MF,FW",1371,1.1,5.2,4,6,38,69,37,40,105,45,24,53.3% (24/45),107
Idrissa Gana Gueye,Everton,MF,3063,1.1,1.7,0,3,27,145,19,154,7,39,18,46.2% (18/39),172
Iliman Ndiaye,Everton,FW,2430,6.2,1.9,7,0,86,59,18,42,38,143,68,47.6% (68/143),145
Jack Harrison,Everton,FW,2076,3.5,3.7,1,0,73,51,33,28,131,75,24,32.0% (24/75),124
Jesper Lindstrøm,Everton,FW,1239,2.1,2.0,0,1,30,25,19,18,71,43,8,18.6% (8/43),55
Orel Mangala,Everton,MF,1261,1.1,0.6,1,0,6,34,8,50,6,24,14,58.3% (14/24),40
Adama Traoré,Fulham,"FW,MF",1772,4.0,4.9,2,7,100,68,42,36,100,97,48,49.5% (48/97),168
Alex Iwobi,Fulham,"FW,MF",2981,4.7,7.0,9,6,144,213,59,115,126,97,48,49.5% (48/97),357
Andreas Pereira,Fulham,MF,2013,3.8,4.6,2,4,29,104,57,67,171,30,14,46.7% (14/30),133
Emile Smith Rowe,Fulham,MF,2043,4.5,1.4,6,3,53,126,24,80,16,35,16,45.7% (16/35),179
Harry Wilson,Fulham,"FW,MF",1162,4.2,1.1,6,1,22,51,20,26,41,24,9,37.5% (9/24),73
Raúl Jiménez,Fulham,FW,2494,12.0,3.3,9,3,35,62,24,41,23,50,21,42.0% (21/50),97
Rodrigo Muniz,Fulham,FW,964,5.8,0.7,8,1,6,27,7,13,1,18,6,33.3% (6/18),33
Sander Berge,Fulham,MF,2224,0.4,0.6,0,0,29,124,18,116,3,20,11,55.0% (11/20),153
Saša Lukić,Fulham,MF,2344,1.2,2.7,0,2,39,98,26,104,62,17,8,47.1% (8/17),137
Tom Cairney,Fulham,MF,628,0.8,1.1,2,0,18,53,11,53,20,13,5,38.5% (5/13),71
Conor Chaplin,Ipswich Town,"MF,FW",857,1.5,0.7,1,1,13,29,8,21,9,8,4,50.0% (4/8),42
George Hirst,Ipswich Town,FW,661,2.1,0.3,3,1,9,13,4,1,3,6,2,33.3% (2/6),22
Jack Clarke,Ipswich Town,"FW,MF",1181,1.2,2.3,0,4,39,44,28,27,13,50,25,50.0% (25/50),83
Jack Taylor,Ipswich Town,MF,860,0.7,0.5,1,0,11,43,5,30,7,11,4,36.4% (4/11),54
Jens Cajuste,Ipswich Town,MF,1959,0.7,0.8,1,1,26,59,13,51,10,53,28,52.8% (28/53),85
Julio Enciso,Ipswich Town,"MF,FW",869,1.7,1.4,2,3,23,28,13,18,21,66,30,45.5% (30/66),51
Kalvin Phillips,Ipswich Town,MF,1237,0.4,0.2,0,0,4,51,5,49,20,12,5,41.7% (5/12),55
Liam Delap,Ipswich Town,FW,2593,9.3,1.9,10,2,61,30,21,17,5,86,40,46.5% (40/86),91
Nathan Broadhead,Ipswich Town,"MF,FW",702,1.7,0.7,2,0,20,14,7,12,9,34,17,50.0% (17/34),34
Omari Hutchinson,Ipswich Town,"MF,FW",2583,2.9,3.5,3,2,97,75,31,45,81,137,51,37.2% (51/137),172
Sam Morsy,Ipswich Town,MF,2751,0.4,1.2,1,1,22,120,24,149,15,29,17,58.6% (17/29),142
Sammie Szmodics,Ipswich Town,"FW,MF",992,3.4,0.2,4,0,16,19,5,11,14,12,4,33.3% (4/12),35
Bilal El Khannouss,Leicester City,"MF,FW",2182,1.3,4.6,2,3,73,128,42,89,89,60,34,56.7% (34/60),201
Bobby De Cordova-Reid,Leicester City,FW,744,0.8,1.2,1,2,14,15,6,9,15,10,0,0.0% (0/10),29
Boubakary Soumaré,Leicester City,MF,2171,0.3,0.4,0,0,34,105,11,95,10,45,27,60.0% (27/45),139
Facundo Buonanotte,Leicester City,"FW,MF",1523,3.9,3.1,5,2,39,54,24,41,43,83,28,33.7% (28/83),93
Harry Winks,Leicester City,MF,1538,0.2,1.2,0,2,19,101,17,110,34,12,3,25.0% (3/12),120
Jamie Vardy,Leicester City,FW,2823,11.2,3.0,8,4,29,22,19,11,11,23,11,47.8% (11/23),51
Jordan Ayew,Leicester City,"FW,MF",1638,3.2,1.1,4,0,49,46,16,25,60,64,26,40.6% (26/64),95
Kasey McAteer,Leicester City,FW,852,1.0,0.7,1,1,19,14,9,13,21,25,6,24.0% (6/25),33
Oliver Skipp,Leicester City,MF,1129,0.4,0.3,0,0,16,35,9,32,5,12,7,58.3% (7/12),51
Patson Daka,Leicester City,"FW,MF",736,1.3,0.1,1,0,11,8,1,6,3,15,2,13.3% (2/15),19
Stephy Mavididi,Leicester City,FW,1615,1.8,2.6,4,1,91,57,22,32,69,95,35,36.8% (35/95),148
Wilfred Ndidi,Leicester City,MF,2324,2.0,1.9,0,5,18,70,17,68,30,33,13,39.4% (13/33),88
Alexis Mac Allister,Liverpool,MF,2599,2.8,4.7,5,5,36,177,45,122,86,42,16,38.1% (16/42),213
Cody Gakpo,Liverpool,FW,1935,7.1,4.4,10,4,59,52,38,24,74,61,31,50.8% (31/61),111
Darwin Núñez,Liverpool,FW,1133,5.8,1.3,5,2,23,27,11,9,3,23,8,34.8% (8/23),50
Diogo Jota,Liverpool,FW,1196,7.9,1.8,6,3,37,34,11,29,8,33,11,33.3% (11/33),71
Dominik Szoboszlai,Liverpool,MF,2491,7.3,7.4,6,6,72,131,56,88,41,41,21,51.2% (21/41),203
Luis Díaz,Liverpool,FW,2399,12.0,5.0,13,5,108,110,56,48,32,116,53,45.7% (53/116),218
Mohamed Salah,Liverpool,FW,3371,25.2,14.2,20,18,154,144,88,53,79,137,58,42.3% (58/137),298
Ryan Gravenberch,Liverpool,MF,3160,1.1,3.1,0,4,70,181,26,151,7,81,37,45.7% (37/81),251
Bernardo Silva,Manchester City,"MF,FW",2670,3.9,5.1,4,4,101,134,53,87,60,61,28,45.9% (28/61),235
Erling Haaland,Manchester City,FW,2736,22.0,3.0,19,3,24,20,29,10,3,36,13,36.1% (13/36),44
Jack Grealish,Manchester City,"FW,MF",721,1.1,1.8,1,1,69,52,24,23,20,29,13,44.8% (13/29),121
Jeremy Doku,Manchester City,"FW,MF",1516,1.3,4.8,3,6,213,69,32,12,59,201,107,53.2% (107/201),282
Kevin De Bruyne,Manchester City,"MF,FW",1702,5.1,8.0,4,7,51,157,57,88,145,34,13,38.2% (13/34),208
Mateo Kovačić,Manchester City,MF,2198,1.9,3.6,6,2,56,164,33,206,0,41,22,53.7% (22/41),220
Nicolás González,Manchester City,MF,760,0.5,0.1,1,0,9,50,1,52,1,6,1,16.7% (1/6),59
Omar Marmoush,Manchester City,"FW,MF",1175,5.5,2.8,7,0,29,37,15,10,28,46,20,43.5% (20/46),66
