jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros
Julian Weigl,Gladbach,MF,28,2881,11,122,8,0,0,23,48,133,39,19,67.2,53,25,86,3
Kevin Stöger,Gladbach,MF,30,1551,40,121,3,0,0,22,16,75,5,15,25.0,37,21,26,3
Philipp Sander,Gladbach,MF,26,1400,16,60,2,0,0,16,23,82,32,19,62.7,33,17,44,3
Rocco Reitz,Gladbach,MF,22,1830,18,91,1,0,0,20,53,94,18,16,52.9,52,24,59,2
Jan Schöppner,Heidenheim,MF,25,2681,35,107,8,0,0,32,43,130,57,60,48.7,56,30,95,1
Lennard Maloney,Heidenheim,MF,24,760,1,14,1,0,0,11,14,40,16,12,57.1,20,11,38,0
Niklas Dorsch,Heidenheim,MF,26,1335,13,57,5,1,0,15,17,74,7,9,43.8,27,16,17,2
Finn Ole Becker,Hoffenheim,MF,24,670,3,45,1,0,0,5,10,50,7,2,77.8,11,5,20,0
Florian Grillitsch,Hoffenheim,MF,28,601,4,44,1,0,0,4,8,31,7,15,31.8,15,9,18,0
Armin Gigovic,Holstein Kiel,MF,22,1895,37,50,5,0,0,22,21,117,18,19,48.6,25,13,33,0
Lewis Holtby,Holstein Kiel,MF,33,1238,14,47,1,1,0,13,21,72,8,12,40.0,34,20,26,3
Magnus Knudsen,Holstein Kiel,MF,23,1850,16,54,7,0,0,28,12,79,10,28,26.3,48,29,44,0
Nicolai Remberg,Holstein Kiel,MF,24,2417,25,80,11,0,0,43,29,101,86,52,62.3,45,25,100,0
Aleix García,Leverkusen,MF,27,1455,27,120,3,0,0,8,11,69,3,8,27.3,13,7,24,1
Exequiel Palacios,Leverkusen,MF,25,1155,15,97,2,0,0,9,13,76,1,8,11.1,22,15,15,1
Granit Xhaka,Leverkusen,MF,31,2888,42,318,3,0,0,33,12,179,41,26,61.2,48,26,52,6
Kaishu Sano,Mainz 05,MF,23,3043,53,159,3,0,0,16,65,190,83,74,52.9,61,36,56,1
Lee Jae-sung,Mainz 05,MF,31,2650,28,105,4,0,0,23,35,119,50,72,41.0,42,21,38,0
Nadiem Amiri,Mainz 05,MF,27,2473,50,204,9,2,1,44,16,207,16,17,48.5,50,23,30,2
Paul Nebel,Mainz 05,MF,21,2345,67,91,5,1,1,37,13,124,17,58,22.7,38,24,30,2
Amadou Haidara,RB Leipzig,MF,26,1320,7,65,7,0,0,23,18,88,30,28,51.7,30,17,56,1
Arthur Vermeeren,RB Leipzig,MF,19,1572,14,77,7,0,0,22,23,94,8,20,28.6,32,19,25,2
Christoph Baumgartner,RB Leipzig,MF,24,1610,37,53,5,0,0,44,12,86,41,39,51.3,44,28,24,2
Kevin Kampl,RB Leipzig,MF,33,1593,21,106,5,0,0,20,24,100,3,13,18.8,27,18,25,0
Xavi Simons,RB Leipzig,MF,21,2150,85,140,5,0,0,24,12,128,19,26,42.2,28,21,19,1
Carlo Boukhalfa,St. Pauli,MF,25,1646,10,41,1,0,0,18,12,60,23,42,35.4,26,11,25,1
Jackson Irvine,St. Pauli,MF,31,2610,19,117,2,0,0,38,36,125,85,65,56.7,56,28,63,2
Angelo Stiller,Stuttgart,MF,23,2741,39,289,6,0,0,21,26,140,18,28,39.1,49,27,50,4
Atakan Karazor,Stuttgart,MF,27,2618,19,140,10,1,1,38,32,171,57,44,56.4,59,29,51,1
Aljoscha Kemlein,Union Berlin,MF,19,922,5,42,3,0,0,15,6,58,19,14,57.6,10,4,15,0
András Schäfer,Union Berlin,MF,25,1534,23,55,3,0,0,27,22,72,28,19,59.6,52,26,36,0
Rani Khedira,Union Berlin,MF,30,2723,12,80,7,0,0,45,44,108,42,42,50.0,68,40,55,0
Jens Stage,Werder Bremen,MF,27,2204,28,104,10,0,0,38,18,114,34,26,56.7,49,30,42,2
Leonardo Bittencourt,Werder Bremen,MF,30,982,19,64,3,0,0,15,15,44,5,15,25.0,25,9,11,0
Romano Schmid,Werder Bremen,MF,24,2834,107,279,4,0,0,28,11,167,23,28,45.1,43,25,9,2
Senne Lynen,Werder Bremen,MF,25,2733,9,91,9,0,0,38,65,191,25,28,47.2,72,39,75,5
Bence Dárdai,Wolfsburg,MF,18,1304,5,39,0,0,0,9,12,52,10,15,40.0,24,14,28,1
Mattias Svanberg,Wolfsburg,MF,25,1219,11,36,4,0,0,16,15,48,12,20,37.5,20,10,26,0
Maximilian Arnold,Wolfsburg,MF,30,2356,9,128,7,1,0,30,24,154,14,23,37.8,34,20,70,2
Lazar Samardzic,Atalanta,MF,22,1169,54,92,3,0,0,19,2,50,4,23,14.8,21,15,6,0
Marco Brescianini,Atalanta,MF,24,991,46,36,1,0,0,22,2,50,12,10,54.5,18,11,6,0
Mario Pašalić,Atalanta,MF,29,1967,44,149,1,0,0,19,12,112,30,29,50.8,26,16,28,1
Éderson,Atalanta,MF,25,2881,40,216,5,1,1,31,35,186,53,36,59.6,52,32,36,1
Giovanni Fabbian,Bologna,MF,21,1023,14,17,2,0,0,21,2,31,19,35,35.2,10,6,4,0
Lewis Ferguson,Bologna,MF,24,983,20,53,0,0,0,27,5,28,16,14,53.3,24,13,9,0
Michel Aebischer,Bologna,MF,27,724,8,33,2,0,0,16,7,35,5,9,35.7,18,13,6,0
Nikola Moro,Bologna,MF,26,1208,17,93,1,0,0,22,13,73,17,16,51.5,35,27,18,0
Remo Freuler,Bologna,MF,32,3204,39,208,6,0,0,47,38,146,28,28,50.0,79,40,57,1
Tommaso Pobega,Bologna,MF,25,1178,12,42,6,2,1,33,14,45,14,16,46.7,33,19,16,0
Alessandro Deiola,Cagliari,MF,28,1432,11,40,6,0,0,32,13,68,37,29,56.1,31,20,38,0
Antoine Makoumbou,Cagliari,MF,26,2150,11,92,4,1,1,27,17,109,4,18,18.2,42,23,28,0
Michel Ndary Adopo,Cagliari,MF,24,2409,20,106,5,1,1,29,27,135,29,24,54.7,55,32,25,0
Răzvan Marin,Cagliari,MF,28,1406,22,84,4,0,0,25,2,70,9,17,34.6,22,13,20,2
Lucas Da Cunha,Como,MF,23,2613,63,154,4,0,0,21,17,157,16,25,39.0,45,25,30,1
Maxence Caqueret,Como,MF,24,1087,15,76,4,0,0,17,7,69,3,10,23.1,36,21,4,1
Máximo Perrone,Como,MF,21,1857,16,98,6,0,0,26,20,96,11,14,44.0,38,27,43,0
Sergi Roberto,Como,MF,32,696,10,36,4,0,0,7,9,48,7,9,43.8,14,8,14,0
Alberto Grassi,Empoli,MF,29,2203,18,74,8,0,0,28,33,124,29,21,58.0,39,21,43,1
Faustino Anjorin,Empoli,MF,22,1114,28,55,3,0,0,24,13,65,9,15,37.5,29,13,20,0
Jacopo Fazzini,Empoli,MF,21,1383,34,49,1,1,0,23,6,70,19,24,44.2,32,19,24,0
Liam Henderson,Empoli,MF,28,2337,18,108,10,0,0,83,15,89,13,20,39.4,42,22,42,0
Youssef Maleh,Empoli,MF,25,1510,10,72,5,1,1,32,16,96,9,18,33.3,45,23,25,0
Amir Richardson,Fiorentina,MF,22,1099,19,47,6,0,0,31,6,51,19,16,54.3,30,13,29,1
Danilo Cataldi,Fiorentina,MF,29,1728,18,90,1,0,0,15,22,114,6,5,54.5,25,16,35,0
Nicolò Fagioli,Fiorentina,MF,23,962,15,50,0,0,0,8,5,46,1,4,20.0,19,10,12,2
Rolando Mandragora,Fiorentina,MF,27,1931,11,92,7,0,0,21,17,61,14,16,46.7,23,13,54,1
Yacine Adli,Fiorentina,MF,24,1234,24,103,3,1,1,9,6,77,5,16,23.8,32,19,19,0
Milan Badelj,Genoa,MF,35,1472,8,83,2,0,0,18,20,74,10,6,62.5,29,16,43,0
Morten Frendrup,Genoa,MF,23,3103,24,106,5,0,0,51,47,184,30,37,44.8,102,61,57,0
Patrizio Masini,Genoa,MF,23,1538,16,44,3,0,0,36,15,87,28,24,53.8,54,29,37,0
Cheikh Tidiane Niasse,Hellas Verona,MF,24,755,5,25,4,0,0,11,17,26,19,21,47.5,18,15,17,2
Ondrej Duda,Hellas Verona,MF,29,2395,23,117,12,1,1,51,31,188,14,15,48.3,46,27,30,4
Reda Belahyane,Hellas Verona,MF,20,1658,22,73,6,1,1,31,10,109,5,15,25.0,36,26,22,1
Suat Serdar,Hellas Verona,MF,27,1376,18,56,4,1,1,33,8,74,14,14,50.0,35,22,21,0
Davide Frattesi,Inter,MF,24,1225,23,31,1,0,0,11,5,48,10,13,43.5,17,8,14,1
Hakan Çalhanoğlu,Inter,MF,30,1947,52,173,5,0,0,22,18,110,16,18,47.1,43,23,24,0
Henrikh Mkhitaryan,Inter,MF,35,2396,72,199,4,0,0,33,17,131,23,13,63.9,43,24,41,0
Kristjan Asllani,Inter,MF,22,988,7,55,4,0,0,9,9,49,4,3,57.1,14,3,13,1
Nicolò Barella,Inter,MF,27,2493,63,235,4,0,0,25,12,165,26,25,51.0,50,31,16,1
Piotr Zieliński,Inter,MF,30,980,26,65,0,0,0,9,6,58,9,3,75.0,14,10,13,1
Khéphren Thuram,Juventus,MF,23,2326,74,123,5,0,0,36,14,110,28,29,49.1,44,21,39,2
Manuel Locatelli,Juventus,MF,26,2822,33,294,9,0,0,46,23,141,35,22,61.4,72,49,77,0
Mattéo Guendouzi,Lazio,MF,25,3270,89,316,7,0,0,28,32,173,18,22,45.0,37,21,50,2
Matías Vecino,Lazio,MF,32,877,4,29,7,0,0,20,5,29,30,28,51.7,13,7,15,0
Nicolò Rovella,Lazio,MF,22,2718,45,159,13,0,0,43,47,154,11,19,36.7,84,50,46,3
Balthazar Pierret,Lecce,MF,24,1723,13,82,2,0,0,34,19,93,27,33,45.0,51,31,31,1
Hamza Rafia,Lecce,MF,25,1058,13,51,4,0,0,26,4,62,5,13,27.8,44,27,18,1
Lassana Coulibaly,Lecce,MF,28,2667,21,93,3,0,0,39,18,146,31,41,43.1,48,29,46,1
Medon Berisha,Lecce,MF,20,716,13,42,5,0,0,16,11,36,7,7,50.0,12,8,5,2
Ylber Ramadani,Lecce,MF,28,1807,9,60,4,0,0,18,24,117,15,25,37.5,51,28,26,3
Þórir Jóhann Helgason,Lecce,MF,23,1156,20,38,0,0,0,10,6,46,17,17,50.0,10,7,11,2
João Félix,Milan,MF,24,760,20,40,3,0,0,12,1,30,7,7,50.0,6,6,9,0
Ruben Loftus-Cheek,Milan,MF,28,1037,27,51,3,0,0,23,3,48,18,11,62.1,19,8,20,0
Tijjani Reijnders,Milan,MF,26,3128,111,230,2,1,0,28,38,125,5,15,25.0,26,13,28,2
Youssouf Fofana,Milan,MF,25,2504,44,176,5,0,0,28,19,151,11,21,34.4,56,34,24,3
Alessandro Bianco,Monza,MF,21,2600,35,125,9,0,0,43,22,122,16,28,36.4,51,28,53,4
Jean-Daniel Akpa-Akpro,Monza,MF,31,966,21,19,4,0,0,24,13,54,11,15,42.3,30,18,16,1
Matteo Pessina,Monza,MF,27,854,8,28,2,0,0,5,12,58,10,8,55.6,15,4,7,0
Warren Bondo,Monza,MF,20,1618,25,39,5,1,1,31,5,91,5,8,38.5,35,24,8,4
Andre-Frank Zambo Anguissa,Napoli,MF,28,2852,24,144,5,0,0,39,35,150,67,50,57.3,42,26,40,1
Billy Gilmour,Napoli,MF,23,1177,11,67,0,0,0,14,9,64,9,10,47.4,24,16,23,0
Scott McTominay,Napoli,MF,27,2938,56,112,3,0,0,45,24,143,66,50,56.9,43,25,51,0
Stanislav Lobotka,Napoli,MF,29,2636,30,118,3,0,0,24,21,166,6,6,50.0,47,30,57,1
Adrian Bernabe,Parma,MF,23,1453,37,115,1,0,0,9,7,72,4,4,50.0,29,18,26,1
Hernani,Parma,MF,30,1327,29,78,7,0,0,33,19,68,18,19,48.6,47,26,12,1
Mandela Keita,Parma,MF,22,1826,13,50,6,1,1,28,21,94,14,14,50.0,44,25,29,2
Nahuel Estévez,Parma,MF,28,657,3,30,3,0,0,9,3,28,14,3,82.4,16,6,26,0
Simon Sohm,Parma,MF,23,2989,69,140,6,0,0,19,26,127,29,29,50.0,28,17,36,0
Bryan Cristante,Roma,MF,29,2045,25,145,8,0,0,37,19,109,61,58,51.3,48,29,36,1
Leandro Paredes,Roma,MF,30,1373,17,106,4,0,0,15,19,83,9,2,81.8,26,14,33,2
Lorenzo Pellegrini,Roma,MF,28,1626,27,61,4,0,0,26,6,61,10,20,33.3,24,16,22,0
Manu Koné,Roma,MF,23,2572,70,144,6,0,0,28,24,131,20,33,37.7,41,26,28,0
Niccolò Pisilli,Roma,MF,19,1227,22,63,7,0,0,19,11,58,3,21,12.5,24,11,16,0
Cesare Casadei,Torino,MF,21,1017,14,36,1,0,0,16,5,41,64,25,71.9,12,5,26,0
Gvidas Gineitis,Torino,MF,20,1430,15,36,5,0,0,23,18,57,14,18,43.8,25,15,32,0
Ivan Ilić,Torino,MF,23,920,24,45,4,0,0,11,5,28,4,14,22.2,5,2,10,0
Karol Linetty,Torino,MF,29,1540,18,47,6,0,0,39,12,63,8,14,36.4,39,23,31,1
Samuele Ricci,Torino,MF,22,2825,43,116,8,1,0,38,25,130,14,15,48.3,35,21,51,2
Jesper Karlström,Udinese,MF,29,3186,23,135,9,0,0,42,35,146,31,31,50.0,61,34,82,5
Jurgen Ekkelenkamp,Udinese,MF,24,1892,34,72,2,0,0,29,12,82,18,13,58.1,36,25,26,0
Martín Payero,Udinese,MF,25,1381,33,51,5,0,0,35,13,75,21,20,51.2,24,16,13,0
Oier Zarraga,Udinese,MF,25,896,7,28,0,0,0,12,2,25,6,11,35.3,19,13,8,0
Sandi Lovrić,Udinese,MF,26,2308,60,120,5,0,0,54,22,118,1,17,5.6,46,29,27,1
Alfred Duncan,Venezia,MF,31,957,11,53,2,0,0,22,8,52,10,8,55.6,17,8,8,0
Gianluca Busio,Venezia,MF,22,2518,60,95,4,0,0,26,19,107,32,34,48.5,46,31,52,0
Hans Nicolussi Caviglia,Venezia,MF,24,2861,20,140,7,1,1,50,28,147,27,23,54.0,47,28,55,2
Issa Doumbia,Venezia,MF,20,939,12,22,0,0,0,18,9,45,18,21,46.2,14,8,14,1
Kike Pérez,Venezia,MF,27,1114,18,60,4,0,0,31,10,71,14,16,46.7,41,25,15,0
Magnus Kofod Andersen,Venezia,MF,25,695,7,24,1,0,0,7,6,31,8,7,53.3,13,4,12,0
