jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros
Elliot Anderson,Nott'ham Forest,MF,21,2728,52,143,10,0,0,49,31,207,56,30,65.1,92,56,76,4
Morgan Gibbs-White,Nott'ham Forest,MF,24,2803,69,164,11,1,1,38,23,127,40,55,42.1,43,22,29,1
Ryan Yates,Nott'ham Forest,MF,26,1915,18,53,10,0,0,53,26,104,45,30,60.0,42,21,61,1
Flynn Downes,Southampton,MF,25,2151,29,66,12,0,0,50,32,83,17,17,50.0,49,25,51,4
Lesley Ugochukwu,Southampton,MF,20,1655,29,49,7,0,0,31,14,67,20,18,52.6,50,24,23,2
Mateus Fernandes,Southampton,MF,20,2909,76,145,8,0,0,46,28,179,15,9,62.5,89,48,35,7
William Smallbone,Southampton,MF,24,690,5,27,1,0,0,11,2,23,4,6,40.0,20,13,14,2
James Maddison,Tottenham,MF,27,1809,45,164,6,0,0,32,12,76,5,7,41.7,31,19,19,1
Lucas Bergvall,Tottenham,MF,18,1212,33,49,3,0,0,20,24,73,9,8,52.9,39,19,22,3
Pape Matar Sarr,Tottenham,MF,21,1913,33,88,6,0,0,34,30,115,34,45,43.0,49,36,25,1
Rodrigo Bentancur,Tottenham,MF,27,1645,28,100,9,0,0,34,40,121,36,30,54.5,40,22,38,1
Yves Bissouma,Tottenham,MF,27,1408,15,75,7,0,0,28,18,85,7,7,50.0,49,31,40,4
Edson Álvarez,West Ham,MF,26,1772,24,85,9,1,1,42,18,88,30,23,56.6,50,27,46,1
Guido Rodríguez,West Ham,MF,30,1149,4,33,6,0,0,18,13,53,11,7,61.1,36,19,35,1
James Ward-Prowse,West Ham,MF,29,1039,11,54,2,0,0,10,8,52,10,5,66.7,20,14,15,0
Tomáš Souček,West Ham,MF,29,2567,9,74,8,0,0,47,20,63,99,73,57.6,46,21,85,1
André,Wolves,MF,23,2472,10,109,7,0,0,36,37,194,2,6,25.0,91,55,30,1
João Gomes,Wolves,MF,23,2974,59,165,11,1,1,70,25,200,11,26,29.7,116,71,33,0
Ander Guevara,Alavés,MF,27,1947,14,112,3,0,0,39,14,120,30,39,43.5,49,30,43,1
Antonio Blanco,Alavés,MF,24,2727,13,146,11,1,1,66,42,164,28,35,44.4,67,40,48,1
Joan Jordán,Alavés,MF,30,1414,7,104,4,0,0,28,9,61,16,13,55.2,32,18,21,0
Beñat Prados,Athletic Club,MF,23,1715,20,78,7,0,0,40,28,91,29,22,56.9,55,36,26,0
