jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas
Ángel Correa,Atlético Madrid,"FW,MF",805,85,4.5,2.1,4,1,30,25,11.1,1,8,11.1% (1/8),55
Dani Olmo,Barcelona,"MF,FW",1212,97,6.5,3.0,8,3,33,81,50.0,9,9,50.0% (9/9),114
Fermin López,Barcelona,"MF,FW",1252,108,5.6,3.9,6,5,31,79,33.3,9,18,33.3% (9/18),110
Ferrán Torres,Barcelona,"FW,MF",1106,98,8.0,3.1,10,6,23,35,35.7,5,9,35.7% (5/9),58
Frenkie de Jong,Barcelona,MF,1143,24,0.7,2.0,2,2,36,120,58.8,10,7,58.8% (10/7),156
Gavi,Barcelona,"MF,FW",1085,42,0.9,1.6,1,1,13,77,44.7,21,26,44.7% (21/26),90
Lamine Yamal,Barcelona,FW,2856,433,9.8,13.9,9,13,181,160,25.0,1,3,25.0% (1/3),341
Marc Casado,Barcelona,MF,1611,24,1.1,1.4,1,3,12,107,25.8,8,23,25.8% (8/23),119
Pedri,Barcelona,MF,2879,136,2.2,7.4,4,5,92,360,53.8,7,6,53.8% (7/6),452
Raphinha,Barcelona,"FW,MF",2839,349,19.2,12.7,16,9,94,135,60.0,9,6,60.0% (9/6),229
Robert Lewandowski,Barcelona,FW,2667,164,27.1,2.3,24,2,27,48,48.7,37,39,48.7% (37/39),75
Abde Ezzalzouli,Betis,"FW,MF",1984,215,8.0,2.0,2,2,117,68,41.3,26,37,41.3% (26/37),185
Antony,Betis,FW,1362,157,2.9,3.5,5,2,94,67,26.3,5,14,26.3% (5/14),161
Cucho,Betis,FW,1139,82,3.8,1.5,5,1,27,34,45.3,29,35,45.3% (29/35),61
Cédric Bakambu,Betis,FW,710,43,3.2,0.6,2,2,9,14,31.6,12,26,31.6% (12/26),23
Ezequiel Ávila,Betis,FW,677,48,1.5,1.0,2,0,12,18,42.9,6,8,42.9% (6/8),30
Giovani Lo Celso,Betis,"MF,FW",1457,66,4.8,4.9,6,3,26,132,31.3,5,11,31.3% (5/11),158
Isco,Betis,MF,1547,112,8.6,4.4,4,8,38,152,38.2,13,21,38.2% (13/21),190
Jesus Rodríguez,Betis,FW,1111,99,2.3,0.2,2,0,53,35,27.3,3,8,27.3% (3/8),88
Johnny Cardoso,Betis,MF,2144,28,2.0,0.9,3,1,19,71,61.7,29,18,61.7% (29/18),90
Marc Roca,Betis,MF,906,13,1.1,1.0,2,2,11,59,27.8,5,13,27.8% (5/13),70
Pablo Fornals,Betis,"MF,FW",1827,85,1.8,3.3,2,0,32,146,46.2,18,21,46.2% (18/21),178
Sergi Altimira,Betis,MF,1972,30,1.7,1.7,0,1,25,99,33.3,11,22,33.3% (11/22),124
Vitor Roque,Betis,FW,1235,57,6.1,1.2,4,0,24,17,34.1,15,29,34.1% (15/29),41
Alfon,Celta Vigo,"FW,MF",1371,170,4.6,2.6,5,2,89,22,17.6,3,14,17.6% (3/14),111
Anastasios Douvikas,Celta Vigo,FW,700,43,4.4,0.2,3,1,6,6,37.8,14,23,37.8% (14/23),12
Borja Iglesias,Celta Vigo,FW,1952,108,9.3,3.2,11,3,22,28,34.1,14,27,34.1% (14/27),50
Damián Rodríguez,Celta Vigo,MF,927,12,0.1,0.8,0,0,8,71,0.0,0,4,0.0% (0/4),79
Fer López,Celta Vigo,"FW,MF",671,58,2.7,1.9,2,0,27,43,18.2,2,9,18.2% (2/9),70
Fran Beltrán,Celta Vigo,MF,2421,29,1.0,1.8,2,1,28,152,41.3,19,27,41.3% (19/27),180
Hugo Sotelo,Celta Vigo,MF,1254,38,0.2,1.7,0,0,21,83,16.7,2,10,16.7% (2/10),104
Iago Aspas,Celta Vigo,"FW,MF",1745,143,8.7,4.6,5,5,50,132,46.7,7,8,46.7% (7/8),182
Ilaix Moriba,Celta Vigo,MF,2132,64,1.7,1.5,1,1,34,119,49.0,24,25,49.0% (24/25),153
Jonathan Bamba,Celta Vigo,"FW,MF",811,71,0.8,1.8,0,1,31,30,33.3,5,10,33.3% (5/10),61
Pablo Durán,Celta Vigo,"FW,MF",1394,124,3.6,2.8,4,4,24,30,28.9,13,32,28.9% (13/32),54
Williot Swedberg,Celta Vigo,"FW,MF",1348,116,5.2,2.6,4,5,34,28,34.8,8,15,34.8% (8/15),62
Alejo Véliz,Espanyol,FW,1127,27,2.3,0.6,1,0,2,8,46.8,51,58,46.8% (51/58),10
Alex Král,Espanyol,MF,2714,79,1.5,1.5,0,1,49,78,57.6,38,28,57.6% (38/28),127
Antoniu,Espanyol,"FW,MF",1022,63,0.9,1.1,0,1,35,28,25.0,6,18,25.0% (6/18),63
Edu Expósito,Espanyol,MF,1045,41,1.0,3.2,0,2,23,64,50.0,11,11,50.0% (11/11),87
Irvin Cardona,Espanyol,"FW,MF",606,43,1.1,0.6,1,1,14,15,42.1,8,11,42.1% (8/11),29
Javi Puado,Espanyol,"FW,MF",2974,113,11.6,3.0,7,4,73,75,23.1,9,30,23.1% (9/30),148
Jofre,Espanyol,"MF,FW",2165,156,2.5,2.5,3,3,65,48,22.7,5,17,22.7% (5/17),113
Pol Lozano,Espanyol,MF,1943,12,0.2,0.8,0,1,18,115,38.5,10,16,38.5% (10/16),133
Roberto Férnandez,Espanyol,FW,1497,50,3.6,0.6,6,0,7,17,38.6,34,54,38.6% (34/54),24
Urko González,Espanyol,MF,1374,8,0.5,0.7,0,2,18,62,57.1,20,15,57.1% (20/15),80
Walid Cheddira,Espanyol,FW,640,34,1.0,1.2,1,1,8,12,37.5,15,25,37.5% (15/25),20
Alex Sola,Getafe,"MF,FW",1029,61,1.0,0.7,0,1,24,23,39.1,18,28,39.1% (18/28),47
Bertuğ Yıldırım,Getafe,FW,1083,48,2.5,1.2,1,0,8,14,53.7,73,63,53.7% (73/63),22
Borja Mayoral,Getafe,FW,1114,43,3.4,0.9,4,1,10,13,29.3,17,41,29.3% (17/41),23
Carles Pérez,Getafe,"MF,FW",1431,77,2.4,1.5,3,0,31,20,32.5,13,27,32.5% (13/27),51
Christantus Uche,Getafe,"FW,MF",2486,148,3.8,2.9,4,6,43,49,42.3,91,124,42.3% (91/124),92
Coba da Costa,Getafe,"MF,FW",1006,83,1.1,1.4,1,1,46,16,50.0,19,19,50.0% (19/19),62
Juanmi,Getafe,"FW,MF",696,28,2.9,0.3,0,0,6,8,42.9,6,8,42.9% (6/8),14
Luis Milla,Getafe,MF,2875,30,1.8,3.9,0,4,32,152,47.0,31,35,47.0% (31/35),184
Mauro Arambarri,Getafe,MF,2661,55,8.2,0.6,7,0,17,75,52.2,59,54,52.2% (59/54),92
Ramón Terrats,Getafe,"MF,FW",1219,37,2.2,2.5,4,1,8,36,51.9,14,13,51.9% (14/13),44
Álvaro Rodríguez,Getafe,FW,852,50,1.2,0.3,2,0,6,13,55.3,104,84,55.3% (104/84),19
Abel Ruiz,Girona,FW,1346,71,4.6,0.5,3,0,21,23,32.1,9,19,32.1% (9/19),44
Arnaut Danjuma,Girona,"FW,MF",1335,185,3.6,1.7,2,0,91,41,25.0,1,3,25.0% (1/3),132
Arthur Melo,Girona,MF,941,17,0.2,0.2,0,0,24,70,0.0,0,3,0.0% (0/3),94
Bojan Miovski,Girona,FW,869,33,2.7,0.2,2,1,4,4,37.1,13,22,37.1% (13/22),8
Bryan Gil,Girona,"FW,MF",1721,210,2.3,2.9,3,3,76,74,0.0,0,5,0.0% (0/5),150
Cristhian Stuani,Girona,FW,1078,36,8.1,0.6,8,2,2,10,56.4,22,17,56.4% (22/17),12
Donny van de Beek,Girona,MF,1421,85,1.5,3.2,2,2,17,45,52.6,10,9,52.6% (10/9),62
Iván Martín,Girona,MF,2039,76,1.8,1.9,1,1,57,131,18.2,4,18,18.2% (4/18),188
Oriol Romeu,Girona,MF,1356,8,0.1,0.3,0,0,22,73,41.9,13,18,41.9% (13/18),95
Portu,Girona,"FW,MF",779,79,1.6,1.7,1,2,20,16,45.5,10,12,45.5% (10/12),36
Viktor Tsyhankov,Girona,"FW,MF",1913,195,2.8,3.9,2,5,62,65,33.3,9,18,33.3% (9/18),127
Yangel Herrera,Girona,MF,2257,99,3.6,1.5,4,3,31,110,52.6,50,45,52.6% (50/45),141
Yaser Asprilla,Girona,"FW,MF",1405,140,2.1,2.8,3,1,72,77,57.1,4,3,57.1% (4/3),149
Alberto Moleiro,Las Palmas,"FW,MF",2714,179,5.6,3.3,6,1,97,116,18.5,5,22,18.5% (5/22),213
Dario Essugo,Las Palmas,MF,1938,8,0.7,0.4,1,0,18,76,48.4,30,32,48.4% (30/32),94
Enzo Loiodice,Las Palmas,MF,684,3,0.3,0.2,0,0,3,31,46.7,7,8,46.7% (7/8),34
Fábio Silva,Las Palmas,FW,1866,119,8.8,2.0,8,3,30,26,49.5,51,52,49.5% (51/52),56
Jaime Mata,Las Palmas,"FW,MF",656,48,2.6,0.1,0,0,6,10,46.4,26,30,46.4% (26/30),16
José Campaña,Las Palmas,MF,1189,15,0.1,0.9,0,3,11,87,78.9,15,4,78.9% (15/4),98
Kirian Rodríguez,Las Palmas,MF,1758,39,1.6,1.5,0,3,25,128,43.3,13,17,43.3% (13/17),153
Manuel Fuster,Las Palmas,"FW,MF",1003,75,0.7,1.8,2,1,23,71,18.8,3,13,18.8% (3/13),94
Oliver McBurnie,Las Palmas,FW,1837,75,4.8,2.8,3,6,7,27,48.3,87,93,48.3% (87/93),34
Sandro Ramírez,Las Palmas,"FW,MF",2034,121,4.1,3.4,8,3,52,52,42.9,12,16,42.9% (12/16),104
Dani Raba,Leganés,"FW,MF",1879,101,7.5,5.3,4,6,42,69,25.0,5,15,25.0% (5/15),111
Darko Brašanac,Leganés,MF,1617,53,1.8,0.4,1,2,6,43,34.5,20,38,34.5% (20/38),49
Diego,Leganés,FW,1195,49,3.8,0.2,3,0,9,16,34.1,43,83,34.1% (43/83),25
Juan Cruz,Leganés,"FW,MF",2257,131,2.7,4.1,5,4,59,66,44.1,15,19,44.1% (15/19),125
Miguel,Leganés,FW,1724,90,4.9,1.4,0,3,14,16,23.2,29,96,23.2% (29/96),30
Munir El Haddadi,Leganés,"FW,MF",862,42,1.6,0.8,4,0,11,29,29.4,10,24,29.4% (10/24),40
Seydouba Cissé,Leganés,MF,2435,42,3.0,1.0,3,1,26,110,39.7,25,38,39.7% (25/38),136
Yvan Neyou,Leganés,MF,2312,30,0.6,0.6,1,1,24,96,53.7,22,19,53.7% (22/19),120
Óscar Rodríguez Arnaiz,Leganés,"MF,FW",1330,66,2.1,2.2,1,4,24,60,33.3,12,24,33.3% (12/24),84
Cyle Larin,Mallorca,FW,1764,95,6.9,1.4,6,2,20,20,43.4,66,86,43.4% (66/86),40
Dani Rodríguez,Mallorca,"MF,FW",2162,108,2.8,3.1,4,7,37,78,42.2,27,37,42.2% (27/37),115
Manu Morlanes,Mallorca,MF,1338,39,0.6,0.3,0,0,16,88,38.5,10,16,38.5% (10/16),104
Omar Mascarell,Mallorca,MF,1992,12,0.5,0.2,1,0,10,75,63.8,44,25,63.8% (44/25),85
Roberto Navarro,Mallorca,"MF,FW",1278,85,2.0,1.9,1,0,45,51,35.7,5,9,35.7% (5/9),96
Samu Costa,Mallorca,MF,2649,69,1.8,1.2,0,2,24,116,63.0,68,40,63.0% (68/40),140
Sergi Darder,Mallorca,"MF,FW",2744,83,2.1,3.7,2,6,37,142,56.5,13,10,56.5% (13/10),179
Takuma Asano,Mallorca,"FW,MF",1054,76,2.7,0.7,2,1,28,20,16.1,5,26,16.1% (5/26),48
Vedat Muriqi,Mallorca,FW,2058,103,9.7,2.2,5,2,23,30,57.9,135,98,57.9% (135/98),53
Aimar Oroz,Osasuna,MF,2966,142,4.2,2.9,4,4,74,163,45.0,18,22,45.0% (18/22),237
Ante Budimir,Osasuna,FW,2952,134,18.3,1.7,13,4,23,24,50.7,136,132,50.7% (136/132),47
Bryan Zaragoza,Osasuna,"FW,MF",1836,140,2.7,3.2,1,6,105,50,16.7,2,10,16.7% (2/10),155
Iker Muñoz,Osasuna,MF,610,10,0.5,1.0,0,1,6,24,45.5,10,12,45.5% (10/12),30
Jon Moncayola,Osasuna,MF,2099,51,1.6,3.7,0,0,25,107,48.4,15,16,48.4% (15/16),132
Lucas Torró,Osasuna,MF,2957,30,2.3,1.2,3,0,10,109,70.4,159,67,70.4% (159/67),119
Moi Gómez,Osasuna,"MF,FW",796,16,0.5,0.8,0,0,13,49,36.8,7,12,36.8% (7/12),62
Pablo Ibáñez,Osasuna,MF,1294,31,1.6,1.6,1,1,21,51,44.2,19,24,44.2% (19/24),72
Raúl,Osasuna,"FW,MF",750,49,3.5,0.7,4,0,10,16,47.6,20,22,47.6% (20/22),26
Rubén García,Osasuna,"FW,MF",2413,157,3.2,3.6,5,5,37,112,43.1,28,37,43.1% (28/37),149
Adri Embarba,Rayo Vallecano,"FW,MF",1607,114,2.1,2.7,1,1,47,45,28.3,13,33,28.3% (13/33),92
Gerard Gumbau,Rayo Vallecano,MF,849,21,1.1,1.3,0,1,2,41,43.6,17,22,43.6% (17/22),43
Isaac Palazón Camacho,Rayo Vallecano,"MF,FW",2162,123,4.7,4.4,4,4,30,117,31.0,18,40,31.0% (18/40),147
Jorge de Frutos,Rayo Vallecano,"FW,MF",2495,201,6.3,3.4,6,3,77,44,38.5,15,24,38.5% (15/24),121
Pedro Díaz,Rayo Vallecano,MF,1211,49,2.4,2.1,3,0,27,62,38.5,5,8,38.5% (5/8),89
Randy Nteka,Rayo Vallecano,FW,1129,44,2.6,0.5,3,0,10,8,44.6,41,51,44.6% (41/51),18
Sergio Camello,Rayo Vallecano,FW,1134,68,4.1,2.0,3,2,20,27,29.7,11,26,29.7% (11/26),47
Unai López,Rayo Vallecano,MF,1707,40,1.6,1.0,3,1,22,112,35.7,10,18,35.7% (10/18),134
Álvaro García,Rayo Vallecano,"FW,MF",2559,245,7.6,5.0,4,5,68,71,33.3,9,18,33.3% (9/18),139
Óscar Valentín,Rayo Vallecano,MF,1835,8,0.4,0.9,0,0,13,86,45.8,33,39,45.8% (33/39),99
Arda Güler,Real Madrid,"MF,FW",1250,86,3.3,4.5,3,4,34,93,38.9,7,11,38.9% (7/11),127
Brahim Díaz,Real Madrid,"FW,MF",1385,110,5.3,3.3,4,2,39,74,17.6,3,14,17.6% (3/14),113
Dani Ceballos,Real Madrid,MF,1215,17,0.4,1.6,0,0,42,150,66.7,2,1,66.7% (2/1),192
Jude Bellingham,Real Madrid,MF,2488,143,11.4,3.9,8,8,74,199,49.2,30,31,49.2% (30/31),273
Kylian Mbappé,Real Madrid,FW,2907,386,25.9,7.7,24,3,150,140,40.0,4,6,40.0% (4/6),290
Luka Modrić,Real Madrid,MF,1827,63,1.6,7.0,2,6,62,208,31.6,6,13,31.6% (6/13),270
Rodrygo,Real Madrid,"FW,MF",1928,253,4.0,3.0,6,5,113,108,30.4,7,16,30.4% (7/16),221
Vinicius Júnior,Real Madrid,FW,2253,256,10.4,8.0,9,8,169,85,12.5,1,7,12.5% (1/7),254
Ander Barrenetxea,Real Sociedad,"MF,FW",1263,152,1.6,1.9,1,3,43,48,33.3,7,14,33.3% (7/14),91
Beñat Turrientes,Real Sociedad,MF,942,28,0.6,0.2,0,0,18,42,35.7,10,18,35.7% (10/18),60
Brais Méndez,Real Sociedad,MF,1531,86,3.5,2.0,3,2,32,91,40.0,18,27,40.0% (18/27),123
Luka Sučić,Real Sociedad,MF,1792,56,3.3,2.6,1,1,30,79,51.0,26,25,51.0% (26/25),109
Martín Zubimendi,Real Sociedad,MF,2962,43,2.6,1.1,2,1,38,195,62.4,53,32,62.4% (53/32),233
Mikel Oyarzabal,Real Sociedad,FW,2250,133,9.9,2.4,5,3,31,28,30.5,32,73,30.5% (32/73),59
Olasagasti,Real Sociedad,MF,857,41,0.9,0.8,1,1,11,38,35.3,12,22,35.3% (12/22),49
Orri Steinn Óskarsson,Real Sociedad,FW,944,50,5.2,0.2,3,0,6,9,36.0,31,55,36.0% (31/55),15
Pablo Marín,Real Sociedad,MF,1239,47,1.4,1.0,1,2,20,45,40.9,18,26,40.9% (18/26),65
Sheraldo Becker,Real Sociedad,"FW,MF",995,110,2.0,2.0,2,1,51,23,30.4,7,16,30.4% (7/16),74
Takefusa Kubo,Real Sociedad,"MF,FW",2372,218,3.6,4.5,5,0,133,110,36.7,11,19,36.7% (11/19),243
Albert Sambi Lokonga,Sevilla,MF,1471,20,0.9,1.0,0,2,24,93,66.7,28,14,66.7% (28/14),117
Chidera Ejuke,Sevilla,FW,966,101,1.1,1.9,2,1,75,38,30.8,4,9,30.8% (4/9),113
Djibril Sow,Sevilla,MF,2062,50,2.4,1.6,2,1,23,100,51.1,24,23,51.1% (24/23),123
Dodi Lukebakio,Sevilla,FW,3092,247,10.1,4.5,10,2,131,93,46.2,18,21,46.2% (18/21),224
Isaac Romero,Sevilla,FW,2156,95,6.8,2.1,4,2,21,29,36.3,29,51,36.3% (29/51),50
Lucien Agoume,Sevilla,MF,2114,23,0.9,2.5,1,3,29,135,51.2,42,40,51.2% (42/40),164
Peque,Sevilla,"MF,FW",1134,44,2.5,1.2,1,1,14,35,23.5,8,26,23.5% (8/26),49
Ruben Vargas,Sevilla,"FW,MF",671,63,2.0,0.8,2,1,29,14,53.8,7,6,53.8% (7/6),43
Saúl Ñíguez,Sevilla,MF,1553,39,2.8,2.5,1,6,13,66,54.8,40,33,54.8% (40/33),79
Suso,Sevilla,"FW,MF",606,74,0.7,1.6,0,2,20,43,28.6,2,5,28.6% (2/5),63
Diego López,Valencia,"MF,FW",2737,219,6.6,5.0,8,5,76,85,20.3,14,55,20.3% (14/55),161
Domingos André Ribeiro Almeida,Valencia,"MF,FW",1977,77,1.2,3.2,0,4,45,142,25.0,5,15,25.0% (5/15),187
Enzo Barrenechea,Valencia,MF,2191,16,1.3,0.9,1,2,21,126,60.7,37,24,60.7% (37/24),147
Hugo Duro,Valencia,FW,2166,88,9.4,1.3,10,2,13,28,36.9,59,101,36.9% (59/101),41
Javier Guerra,Valencia,MF,2581,84,2.2,3.2,3,3,50,137,48.6,17,18,48.6% (17/18),187
José Luis García Vayá,Valencia,MF,1742,19,2.1,2.1,0,2,13,142,52.3,23,21,52.3% (23/21),155
Luis Rioja,Valencia,"MF,FW",2831,228,3.3,4.5,3,3,93,103,40.5,15,22,40.5% (15/22),196
Rafa Mir,Valencia,"FW,MF",753,28,3.0,0.7,1,2,10,20,36.4,12,21,36.4% (12/21),30
Umar Sadiq,Valencia,FW,825,49,3.4,0.7,5,0,9,7,54.8,23,19,54.8% (23/19),16
Anuar,Valladolid,"MF,FW",1720,68,1.7,1.2,2,0,24,30,39.7,23,35,39.7% (23/35),54
Chuky san jose,Valladolid,MF,728,27,2.2,1.2,2,0,6,15,16.7,2,10,16.7% (2/10),21
Darwin Machís,Valladolid,"MF,FW",639,43,0.9,0.5,0,1,17,19,75.0,6,2,75.0% (6/2),36
Florian Grillitsch,Valladolid,MF,623,7,0.1,0.7,0,0,9,38,55.6,5,4,55.6% (5/4),47
Iván Sánchez,Valladolid,"MF,FW",1404,93,0.7,2.9,2,1,60,77,50.0,11,11,50.0% (11/11),137
Juanmi Latasa,Valladolid,FW,1398,40,4.2,0.9,3,0,3,17,60.8,90,58,60.8% (90/58),20
Kike Pérez,Valladolid,MF,1191,28,2.1,1.0,2,0,19,67,44.4,12,15,44.4% (12/15),86
Mamadou Sylla,Valladolid,"FW,MF",1583,52,5.1,1.7,1,1,15,22,41.4,41,58,41.4% (41/58),37
Marcos André,Valladolid,FW,1188,39,2.7,0.8,1,2,11,16,51.6,47,44,51.6% (47/44),27
Mario Martín,Valladolid,MF,1748,22,1.8,1.4,0,1,18,66,47.7,31,34,47.7% (31/34),84
Raúl Moro,Valladolid,"MF,FW",2341,190,4.1,5.7,4,5,112,81,33.3,8,16,33.3% (8/16),193
Selim Amallah,Valladolid,MF,1376,27,3.5,1.1,2,1,24,57,23.8,5,16,23.8% (5/16),81
Stanko Jurić,Valladolid,MF,1729,8,0.8,0.5,0,0,5,57,69.4,50,22,69.4% (50/22),62
Alex Baena,Villarreal,"MF,FW",2595,154,7.1,11.7,7,9,91,189,45.7,16,19,45.7% (16/19),280
Ayoze Pérez,Villarreal,FW,1970,124,12.7,3.0,19,2,59,73,28.9,13,32,28.9% (13/32),132
Daniel Parejo,Villarreal,MF,2273,26,2.5,1.8,2,3,19,176,72.7,24,9,72.7% (24/9),195
Denis Suárez,Villarreal,MF,608,24,0.9,1.5,1,1,27,35,14.3,1,6,14.3% (1/6),62
Gerard Moreno,Villarreal,FW,721,60,4.2,3.6,0,2,19,53,81.0,17,4,81.0% (17/4),72
Nicolas Pépé,Villarreal,"FW,MF",1500,159,3.8,4.8,3,6,76,60,47.1,16,18,47.1% (16/18),136
Pape Gueye,Villarreal,MF,2224,69,3.4,1.1,4,0,36,156,57.4,31,23,57.4% (31/23),192
Santi Comesaña,Villarreal,MF,2560,58,4.6,2.0,4,2,39,154,39.5,32,49,39.5% (32/49),193
Thierno Barry,Villarreal,FW,2323,124,12.5,2.9,10,4,44,27,67.3,99,48,67.3% (99/48),71
Yeremi Pino,Villarreal,"MF,FW",1934,213,3.9,5.3,4,7,42,66,42.9,12,16,42.9% (12/16),108
Esteban Lepaul,Angers,FW,1629,68,5.1,0.8,9,0,26,20,42.7,35,47,42.7% (35/47),46
Farid El Melali,Angers,FW,1893,113,3.6,3.1,2,3,62,43,22.2,6,21,22.2% (6/21),105
Haris Belkebla,Angers,MF,1792,15,0.1,0.9,0,1,8,69,27.6,8,21,27.6% (8/21),77
Himad Abdelli,Angers,"MF,FW",2842,111,6.4,3.2,3,1,107,207,39.4,13,20,39.4% (13/20),314
Ibrahima Niane,Angers,FW,943,50,5.7,1.0,2,1,19,9,41.3,26,37,41.3% (26/37),28
Jean-Eudes Aholou,Angers,MF,1959,16,1.8,1.0,2,0,15,68,62.3,38,23,62.3% (38/23),83
Jim Allevinah,Angers,FW,1750,99,4.2,2.5,1,3,57,48,29.4,10,24,29.4% (10/24),105
Yassin Belkhdim,Angers,MF,1523,31,0.8,0.6,1,1,17,37,25.0,5,15,25.0% (5/15),54
Zinedine Ferhat,Angers,"FW,MF",849,64,1.4,2.4,2,0,16,40,45.9,17,20,45.9% (17/20),56
Ado Onaiwu,Auxerre,"MF,FW",957,74,4.0,1.1,4,1,17,33,58.7,37,26,58.7% (37/26),50
Assane Dioussé,Auxerre,MF,663,6,0.1,0.2,0,0,1,33,25.0,1,3,25.0% (1/3),34
Elisha Owusu,Auxerre,MF,2344,33,0.4,1.0,1,3,8,78,38.1,16,26,38.1% (16/26),86
Gaëtan Perrin,Auxerre,"MF,FW",2691,125,6.1,7.8,10,11,83,142,18.8,3,13,18.8% (3/13),225
Hamed Junior Traorè,Auxerre,MF,2093,146,7.9,2.7,10,2,66,99,37.5,12,20,37.5% (12/20),165
Han-Noah Massengo,Auxerre,MF,1046,13,0.4,0.4,0,0,13,28,38.9,7,11,38.9% (7/11),41
Kévin Danois,Auxerre,MF,1460,50,1.5,2.2,0,0,19,95,43.8,14,18,43.8% (14/18),114
Lassine Sinayoko,Auxerre,"FW,MF",2299,193,6.5,5.5,4,8,53,62,29.7,27,64,29.7% (27/64),115
Theo Bair,Auxerre,FW,939,42,3.0,1.2,2,1,15,16,54.5,55,46,54.5% (55/46),31
Abdallah Sima,Brest,"FW,MF",1238,92,5.9,1.0,7,2,36,24,48.2,41,44,48.2% (41/44),60
Hugo Magnetti,Brest,MF,2323,20,0.8,0.4,1,0,21,80,50.0,10,10,50.0% (10/10),101
Kamory Doumbia,Brest,"MF,FW",1322,54,2.7,1.2,3,2,17,72,31.3,10,22,31.3% (10/22),89
Ludovic Ajorque,Brest,FW,2495,124,10.4,3.1,13,2,10,41,52.4,133,121,52.4% (133/121),51
Mahdi Camara,Brest,"MF,FW",2659,112,4.1,2.0,5,3,58,111,35.4,17,31,35.4% (17/31),169
Mama Samba Baldé,Brest,FW,1149,100,3.0,2.1,2,3,35,22,41.7,35,49,41.7% (35/49),57
Mathias Pereira Lage,Brest,"FW,MF",1571,100,3.3,3.5,2,7,32,41,46.1,35,41,46.1% (35/41),73
Pierre Lees-Melou,Brest,MF,1526,36,1.3,2.8,2,2,23,105,36.4,4,7,36.4% (4/7),128
Romain Del Castillo,Brest,FW,1259,106,4.7,3.4,3,4,29,61,40.0,8,12,40.0% (8/12),90
Romain Faivre,Brest,"MF,FW",899,49,2.6,1.9,2,2,24,44,41.2,7,10,41.2% (7/10),68
Abdoulaye Touré,Le Havre,MF,2324,28,9.4,0.4,2,1,17,109,61.2,30,19,61.2% (30/19),126
André Ayew,Le Havre,FW,1453,43,4.3,0.2,4,1,5,18,37.0,37,63,37.0% (37/63),23
Antoine Joujou,Le Havre,"MF,FW",943,85,0.6,3.0,0,2,44,18,21.7,5,18,21.7% (5/18),62
Emmanuel Sabbi,Le Havre,"FW,MF",653,39,1.9,0.6,0,0,11,15,40.9,9,13,40.9% (9/13),26
Issa Soumaré,Le Havre,"FW,MF",1902,144,3.8,3.1,5,4,61,45,60.0,84,56,60.0% (84/56),106
Josué Casimir,Le Havre,"FW,MF",1997,151,3.3,3.4,4,4,71,41,28.1,9,23,28.1% (9/23),112
Junior Mwanga,Le Havre,MF,952,15,1.3,1.0,1,2,15,42,56.3,9,7,56.3% (9/7),57
Koka,Le Havre,FW,851,20,4.9,0.6,2,1,0,12,48.8,20,21,48.8% (20/21),12
Oussama Targhalline,Le Havre,MF,990,34,0.1,0.7,0,0,25,66,57.1,8,6,57.1% (8/6),91
Rassoul Ndiaye,Le Havre,MF,1061,30,1.7,0.6,1,0,6,46,38.2,13,21,38.2% (13/21),52
Yassine Kechta,Le Havre,"MF,FW",2096,85,2.5,1.2,2,0,44,97,27.0,10,27,27.0% (10/27),141
Adrien Thomasson,Lens,MF,2615,138,5.9,6.0,3,7,30,149,27.4,17,45,27.4% (17/45),179
Anass Zaroury,Lens,"FW,MF",1405,107,1.7,2.9,2,2,49,65,28.6,2,5,28.6% (2/5),114
Andy Diouf,Lens,MF,2225,94,2.9,2.8,1,2,82,116,36.7,18,31,36.7% (18/31),198
Angelo Fulgini,Lens,"MF,FW",1045,113,2.4,3.8,1,1,29,69,37.5,9,15,37.5% (9/15),98
Florian Sotoca,Lens,"FW,MF",1794,170,4.6,1.5,1,1,44,105,62.3,43,26,62.3% (43/26),149
Goduine Koyalipou,Lens,FW,885,68,4.8,0.8,4,0,15,20,40.0,16,24,40.0% (16/24),35
M'Bala Nzola,Lens,FW,1460,118,8.6,1.3,6,1,26,22,51.4,38,36,51.4% (38/36),48
Neil El Aynaoui,Lens,MF,1588,29,4.0,2.0,5,1,11,75,61.5,24,15,61.5% (24/15),86
Rémy Labeau Lascary,Lens,"FW,MF",637,71,2.5,1.1,2,1,17,7,46.2,6,7,46.2% (6/7),24
Wesley Saïd,Lens,FW,905,53,3.2,1.0,3,0,16,24,38.5,10,16,38.5% (10/16),40
André Gomes,Lille,MF,1276,28,0.5,0.7,0,0,18,101,56.3,9,7,56.3% (9/7),119
Angel Gomes,Lille,MF,736,47,1.7,2.1,1,1,15,49,45.5,5,6,45.5% (5/6),64
Ayyoub Bouaddi,Lille,MF,1151,26,0.1,1.0,0,1,11,37,50.0,9,9,50.0% (9/9),48
Benjamin André,Lille,MF,2692,72,1.4,1.9,0,3,29,209,53.4,94,82,53.4% (94/82),238
Chuba Akpom,Lille,FW,639,38,5.0,0.5,2,1,6,7,60.7,17,11,60.7% (17/11),13
Edon Zhegrova,Lille,"FW,MF",978,81,2.3,2.2,4,1,37,54,60.0,3,2,60.0% (3/2),91
